zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info3String,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.newConstructionType,isNewYorkState,area,hdpData.homeInfo.livingArea,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_bankOwned,info6String,hdpData.homeInfo.unit,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.listing_sub_type.is_comingSoon,info2String,minBeds,minBaths,minArea,lotId,buildingName,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.videoCount,availabilityDate
2120598220,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/caae41a98af7ab6ce718bb707c9c3d48-p_e.jpg,True,/homedetails/430-Hickok-Ave-Syracuse-NY-13206/2120598220_zpid/,FOR_SALE,House for sale,"$149,900",$150K,"430 Hickok Ave, Syracuse, NY 13206",3.0,1.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"Listing by: Your Home CNY Realty, LLC",434484000,43.060467,-76.11368,,,2120598220.0,430 Hickok Ave,13206,Syracuse,NY,43.060467,-76.11368,149900.0,1.0,3.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,149900.0,434484000.0,True,False,False,USD,USA,,0.2773,acres,False,https://photos.zillowstatic.com/fp/3b4187841ffeb2f7b39caff46c627732-zillow_web_48_23.jpg,,,,,,True,1438.0,1438.0,,,,,,,,,,,,,,,,,,,,,,,
350522086,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fa636a9ff7491b3e294a357849c0cf89-p_e.jpg,True,/homedetails/1562-Sussex-Tpke-Randolph-NJ-07869/350522086_zpid/,FOR_SALE,House for sale,"$445,000",$445K,"1562 Sussex Tpke, Randolph Twp., NJ 07869-1815",3.0,3.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"Turpin Real Estate, Inc.",936599000,40.85773,-74.62238,,,350522086.0,1562 Sussex Tpke,07869,Randolph,NJ,40.85773,-74.62238,445000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,445000.0,936599000.0,True,False,False,USD,USA,,0.78,acres,False,,,,,,,,1755.0,1755.0,,,,,,,,,,,,,,,,,,,,,,,
9834310,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5b4de1fdca9c314b6a5f5ab84f68bb03-p_e.jpg,True,/homedetails/116-Timber-Ridge-Rd-East-Stroudsburg-PA-18301/9834310_zpid/,FOR_SALE,Home for sale,"$179,000",$179K,"116 Timber Ridge Rd, East Stroudsburg, PA 18301",3.0,1.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Keller Williams Real Estate - Stroudsburg,2849439000,41.05186,-75.21306,PRICE_REDUCTION,"$10,000 (May 29)",9834310.0,116 Timber Ridge Rd,18301,East Stroudsburg,PA,41.05186,-75.21306,179000.0,1.0,3.0,MANUFACTURED,FOR_SALE,-1.0,False,False,168500.0,1817.0,True,False,False,FOR_SALE,179000.0,2849439000.0,True,False,False,USD,USA,77540.0,1.11,acres,False,https://photos.zillowstatic.com/fp/6ae0c8f00214fc9b3823d1f5b6ed9c48-zillow_web_48_23.jpg,,,,,,,1405.0,1405.0,1716966000000.0,"$10,000 (May 29)",-10000.0,,,,,,,,,,,,,,,,,,,,
57398763,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/44c5a1a9c9a78509103d8e0de6294bf2-p_e.jpg,True,/homedetails/51-Wedgewood-Rd-UNIT-A-Stratford-CT-06614/57398763_zpid/,FOR_SALE,Condo for sale,"$350,000",$350K,"51 Wedgewood Rd UNIT A, Stratford, CT 06614",2.0,2.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,Stacy Blake Realty LLC,395188000,41.264305,-73.11085,OPEN_HOUSE,Open: Sun. 1-2:30pm,57398763.0,51 Wedgewood Rd UNIT A,06614,Stratford,CT,41.264305,-73.11085,350000.0,2.0,2.0,CONDO,FOR_SALE,-1.0,False,False,349400.0,2550.0,True,False,False,FOR_SALE,350000.0,395188000.0,True,False,False,USD,USA,139510.0,,,False,https://photos.zillowstatic.com/fp/d79c34cc3fb9c13a4cbe1437a108a1d7-zillow_web_48_23.jpg,,True,Sun. 1-2:30pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717363800000}]",,,1278.0,1278.0,,,,,,Unit A,,,,,,,,,,,,,,,,,
59577624,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e873e8ee9ce0dbefe1762cb0f2b1de2c-p_e.jpg,True,/homedetails/13-Timber-Ridge-Dr-Huntington-NY-11743/59577624_zpid/,FOR_SALE,House for sale,"$1,999,000",$2.00M,"13 Timber Ridge Drive, Huntington, NY 11743",4.0,4.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing by: Serhant LLC,343892000,40.8448,-73.36237,OPEN_HOUSE,Open: Sun. 11am-12:30pm,59577624.0,13 Timber Ridge Drive,11743,Huntington,NY,40.8448,-73.36237,1999000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,1999000.0,343892000.0,True,False,False,USD,USA,6275.0,1.0,acres,False,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,True,Sun. 11am-12:30pm,"[{'open_house_start': 1717351200000, 'open_house_end': 1717356600000}]",,True,4500.0,4500.0,,,,,,,,,,,,,,,,,,,,,,,
200228166,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e76631a8cda35b6ba8dc1766e607d569-p_e.jpg,True,/homedetails/1610-Pleasant-St-Lee-MA-01238/200228166_zpid/,FOR_SALE,House for sale,"$429,900",$430K,"1610 Pleasant St, Lee, MA 01238",3.0,2.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"NAPLES REALTY GROUP, LLC",339810000,42.277557,-73.28526,,,200228166.0,1610 Pleasant St,01238,Lee,MA,42.277557,-73.28526,429900.0,2.0,3.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,439600.0,3800.0,True,False,False,FOR_SALE,429900.0,339810000.0,True,False,False,USD,USA,354300.0,1.3,acres,False,,,,,,,,2264.0,2264.0,,,,,Dominic Santaniello,,,,,,,,,,,,,,,,,,
39472245,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b1aa296dff4f43e9f28feff1d58faa57-p_e.jpg,True,/homedetails/33-Tarn-Dr-Morris-Plains-NJ-07950/39472245_zpid/,FOR_SALE,House for sale,"$899,000",$899K,"33 Tarn Dr, Parsippany-Troy Hills Twp., NJ 07950-2755",5.0,3.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Weichert Realtors,363037000,40.8601,-74.46583,OPEN_HOUSE,Open: Sun. 1-4pm,39472245.0,33 Tarn Dr,07950,Morris Plains,NJ,40.8601,-74.46583,899000.0,3.0,5.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,899000.0,363037000.0,True,False,False,USD,USA,455800.0,0.47000000000000003,acres,False,,,True,Sun. 1-4pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717369200000}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
55950442,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1009edc39bb520a2bfe40a2826250ba3-p_e.jpg,True,/homedetails/539-Elm-St-Pittsfield-MA-01201/55950442_zpid/,FOR_SALE,House for sale,"$319,900",$320K,"539 Elm St, Pittsfield, MA 01201",3.0,1.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,WILLIAM PITT SOTHEBY'S - LENOX,262415000,42.4368,-73.221054,,,55950442.0,539 Elm St,01201,Pittsfield,MA,42.4368,-73.221054,319900.0,1.0,3.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,343900.0,2700.0,True,False,False,FOR_SALE,319900.0,262415000.0,True,False,False,USD,USA,283100.0,0.45,acres,False,,,,,,,,1862.0,1862.0,,,,,Carrie Lobovits Wright,,,,,,,,,,,,,,,,,,
59301199,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e461236ea0780e254f2cf4d719a7d29b-p_e.jpg,True,/homedetails/150-Prospect-St-APT-6-Greenwich-CT-06830/59301199_zpid/,FOR_SALE,Townhouse for sale,"$699,000",$699K,"150 Prospect St APT 6, Greenwich, CT 06830",2.0,3.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Houlihan Lawrence,181561000,41.01971,-73.63261,,,59301199.0,150 Prospect St APT 6,06830,Greenwich,CT,41.01971,-73.63261,699000.0,3.0,2.0,TOWNHOUSE,FOR_SALE,-1.0,False,False,758300.0,4500.0,True,False,False,FOR_SALE,699000.0,181561000.0,True,False,False,USD,USA,350420.0,,,False,https://photos.zillowstatic.com/fp/580726d59192ea1620a9781ec60fda43-zillow_web_48_23.jpg,,,,,,,1424.0,1424.0,,,,,,Apt 6,,,,,,,,,,,,,,,,,
57239064,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a7ecc102b42944d7e14dfd084755fea1-p_e.jpg,True,/homedetails/180-Benham-Ave-Bridgeport-CT-06605/57239064_zpid/,FOR_SALE,Multi-family home for sale,"$349,000",$349K,"180 Benham Ave, Bridgeport, CT 06605",6.0,2.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Dorrance Realty,344139000,41.17906,-73.203575,,,57239064.0,180 Benham Ave,06605,Bridgeport,CT,41.17906,-73.203575,349000.0,2.0,6.0,MULTI_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,349000.0,344139000.0,True,False,False,USD,USA,145390.0,7840.8,sqft,False,https://photos.zillowstatic.com/fp/d79c34cc3fb9c13a4cbe1437a108a1d7-zillow_web_48_23.jpg,,,,,,,2128.0,2128.0,,,,,,,,,,,,,,,,,,,,,,,
351215019,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b4d466760e7eb1a139f4eeb828980be3-p_e.jpg,True,/homedetails/55-Iroquois-Rd-Yonkers-NY-10710/351215019_zpid/,FOR_SALE,House for sale,"$850,000",$850K,"55 Iroquois Road, Yonkers, NY 10710",4.0,4.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing by: Keller Williams NY Realty,254426000,40.952442,-73.83775,OPEN_HOUSE,Open: Sun. 12-2pm,351215019.0,55 Iroquois Road,10710,Yonkers,NY,40.952442,-73.83775,850000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,850000.0,254426000.0,True,False,False,USD,USA,,6970.0,sqft,False,https://photos.zillowstatic.com/fp/4e66a55bd37a412d002fb678e0dbded9-zillow_web_48_23.jpg,,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,True,2268.0,2268.0,,,,,,,,,,,,,,,,,,,,,,,
