zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,plid,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,communityName,builderName,isCdpResult,style,unitCount,isComingSoonCommunity,availabilityDate,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isRead,variableData.data.isFresh,lotAreaString,hdpData.homeInfo.listing_sub_type.is_comingSoon,info6String,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction
43536521,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1f76408f1c3eb1a8a783d172b9290d4a-p_e.jpg,True,/homedetails/3201-Clifford-St-Port-Charlotte-FL-33980/43536521_zpid/,FOR_SALE,House for sale,"$274,999",$275K,"3201 Clifford St, Port Charlotte, FL 33980",3.0,2.0,1697.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/4761f9a98c739ce76513e34c19db6944-zillow_web_48_23.jpg,Listed Realty,393966000,26.982494,-82.072075,,,43536521.0,3201 Clifford St,33980,Port Charlotte,FL,26.982494,-82.072075,274999.0,2.0,3.0,1697.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,274999.0,393966000.0,True,False,False,USD,USA,234474.0,0.29,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81882077,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d596140b6634cab843d8173678b40d7c-p_e.jpg,True,/homedetails/301-NE-23rd-Ter-Cape-Coral-FL-33909/81882077_zpid/,FOR_SALE,House for sale,"$387,500",$388K,"301 NE 23rd Ter, Cape Coral, FL 33909",3.0,3.0,1776.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/4761f9a98c739ce76513e34c19db6944-zillow_web_48_23.jpg,Century 21 Sunbelt Realty,441220000,26.695723,-81.96776,OPEN_HOUSE,Open: Sun. 1-3pm,81882077.0,301 NE 23rd Ter,33909,Cape Coral,FL,26.695723,-81.96776,387500.0,3.0,3.0,1776.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,387500.0,441220000.0,True,False,False,USD,USA,294702.0,0.255,acres,False,,,,,,,,,,,,,,,,,,,,,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",,,,,,,,,,,
47596407,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/dcb26e0530d127e0e341df92fd647934-p_e.jpg,True,/homedetails/3210-S-Chamberlain-Blvd-North-Port-FL-34286/47596407_zpid/,FOR_SALE,House for sale,"$449,900",$450K,"3210 S Chamberlain Blvd, North Port, FL 34286",3.0,2.0,1531.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,ROVI,7523544000,27.049938,-82.173874,SHOWCASE,Showcase,47596407.0,3210 S Chamberlain Blvd,34286,North Port,FL,27.049938,-82.173874,449900.0,2.0,3.0,1531.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,431400.0,2196.0,True,False,False,FOR_SALE,449900.0,7523544000.0,True,False,False,USD,USA,276700.0,10000.0,sqft,True,,,,,,,,,,,,,,,,1713855600000.0,"$19,000 (Apr 23)",-19000.0,,,,,,,,,,,,,,,,
47823682,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6ee05c41c606bf391f18348b9162b908-p_e.jpg,True,/homedetails/1652-SW-Bellevue-Ave-Pt-Saint-Lucie-FL-34953/47823682_zpid/,FOR_SALE,House for sale,"$349,900",$350K,"1652 SW Bellevue Ave, Pt Saint Lucie, FL 34953",3.0,2.0,1357.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg,Baron Real Estate,444562000,27.29196,-80.39815,OPEN_HOUSE,Open: Sun. 1-3pm,47823682.0,1652 SW Bellevue Ave,34953,Pt Saint Lucie,FL,27.29196,-80.39815,349900.0,2.0,3.0,1357.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,350700.0,2500.0,True,False,False,FOR_SALE,349900.0,444562000.0,True,False,False,USD,USA,288600.0,10454.0,sqft,False,,,,,,,,,,,,,,,,,,,,,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",,,,,,,,,,,
47422879,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b68db97b8e8a4b2143e7d9de32b0c91a-p_e.jpg,True,/homedetails/3648-Twisted-Oak-Ct-Lake-Wales-FL-33898/47422879_zpid/,FOR_SALE,House for sale,"$400,000",$400K,"3648 Twisted Oak Ct, Lake Wales, FL 33898",4.0,3.0,2170.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,LIVE FLORIDA REALTY,253803000,27.919016,-81.52594,3D_HOME,3D Tour,47422879.0,3648 Twisted Oak Ct,33898,Lake Wales,FL,27.919016,-81.52594,400000.0,3.0,4.0,2170.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,396700.0,2284.0,True,False,False,FOR_SALE,400000.0,253803000.0,True,False,False,USD,USA,272840.0,0.5298898071625344,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43540419,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d5ae654d5a2856ea35a11d230bdf793c-p_e.jpg,True,/homedetails/2333-Achilles-St-Punta-Gorda-FL-33980/43540419_zpid/,FOR_SALE,House for sale,"$349,900",$350K,"2333 Achilles St, Punta Gorda, FL 33980",3.0,2.0,1674.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg,PEACE HARBOR REAL ESTATE INC.,829921000,26.99368,-82.06996,3D_HOME,3D Tour,43540419.0,2333 Achilles St,33980,Punta Gorda,FL,26.99368,-82.06996,349900.0,2.0,3.0,1674.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,339300.0,2161.0,True,False,False,FOR_SALE,349900.0,829921000.0,True,False,False,USD,USA,255429.0,10000.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81889221,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/13ded21bee45736a1a5ee4ad87ca4a4d-p_e.jpg,True,/homedetails/16990-River-Boat-Bnd-Alva-FL-33920/81889221_zpid/,FOR_SALE,House for sale,"$3,199,900",$3.20M,"16990 River Boat Bnd, Alva, FL 33920",3.0,4.0,3554.0,False,False,ForSale,For Sale (Broker),False,True,True,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/4761f9a98c739ce76513e34c19db6944-zillow_web_48_23.jpg,"Royal Shell Real Estate, Inc.",594431000,26.724297,-81.68244,SHOWCASE,Showcase,81889221.0,16990 River Boat Bnd,33920,Alva,FL,26.724297,-81.68244,3199900.0,4.0,3.0,3554.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,3199900.0,594431000.0,True,False,False,USD,USA,1028878.0,2.596,acres,True,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
45505956,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3d0294db705166f0e8c37a2530d752eb-p_e.jpg,True,/homedetails/1305-SW-19th-Ln-Cape-Coral-FL-33991/45505956_zpid/,FOR_SALE,House for sale,"$546,000",$546K,"1305 SW 19th Ln, Cape Coral, FL 33991",5.0,3.0,3879.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/4761f9a98c739ce76513e34c19db6944-zillow_web_48_23.jpg,Weichert Realtors Agency ONE,228086000,26.616253,-82.00261,OPEN_HOUSE,Open: Sun. 12-2pm,45505956.0,1305 SW 19th Ln,33991,Cape Coral,FL,26.616253,-82.00261,546000.0,3.0,5.0,3879.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,539700.0,7750.0,True,False,False,FOR_SALE,546000.0,228086000.0,True,False,False,USD,USA,476664.0,0.287,acres,False,,,,,,,,,,,,,,,,,,,,,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,
45441000,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c6938bdd2053911e40ccd90f44558629-p_e.jpg,True,/homedetails/153-SW-49th-St-Cape-Coral-FL-33914/45441000_zpid/,FOR_SALE,House for sale,"$290,000",$290K,"153 SW 49th St, Cape Coral, FL 33914",3.0,2.0,1524.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/4761f9a98c739ce76513e34c19db6944-zillow_web_48_23.jpg,"Mato Realty, LLC",11318681000,26.561321,-81.97684,PRICE_REDUCTION,"$9,999 (May 28)",45441000.0,153 SW 49th St,33914,Cape Coral,FL,26.561321,-81.97684,290000.0,2.0,3.0,1524.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,290000.0,11318681000.0,True,False,False,USD,USA,51859.0,10018.8,sqft,False,,,,,,,,,,,,,,,,1716879600000.0,"$9,999 (May 28)",-9999.0,,,,,,,,,,,,,,,,
45958802,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d0b521ec9c7c9b7bd9922296686b73b7-p_e.jpg,True,/homedetails/7619-NW-87th-Ct-Okeechobee-FL-34972/45958802_zpid/,FOR_SALE,House for sale,"$249,000",$249K,"7619 NW 87th Ct, Okeechobee, FL 34972",3.0,2.0,1200.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg,Pro-Net Realty LLC,223715000,27.323631,-80.90721,,,45958802.0,7619 NW 87th Ct,34972,Okeechobee,FL,27.323631,-80.90721,249000.0,2.0,3.0,1200.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,246200.0,1749.0,True,False,False,FOR_SALE,249000.0,223715000.0,True,False,False,USD,USA,157501.0,0.9996556473829201,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
