zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info3String,brokerName,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,availabilityDate,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,variableData.data.isRead,variableData.data.isFresh,plid,communityName,builderName,isCdpResult,isComingSoonCommunity,info6String,brokerPhone,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_bankOwned,lotAreaString,hdpData.homeInfo.providerListingID,style
302799327,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0a4e5dc89b9076e8fc4280785d7abde2-p_e.jpg,True,/homedetails/2700-Great-Owl-Pass-Leander-TX-78641/302799327_zpid/,FOR_SALE,Active,"$1,090,000",$1.09M,"2700 Great Owl Pass, Leander, TX 78641",4.0,4.0,4018.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,269209000.0,30.597622,-97.90643,,,302799327.0,2700 Great Owl Pass,78641,Leander,TX,30.597622,-97.90643,1090000.0,4.0,4.0,4018.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,1090000.0,269209000.0,True,False,False,USD,USA,968217.0,1.002,acres,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,Perfect Tree Realty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53289302,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/20d7d7bdbe8d809c80690501436e6bcf-p_e.jpg,True,/homedetails/3118-S-9th-St-Abilene-TX-79605/53289302_zpid/,FOR_SALE,House for sale,"$135,000",$135K,"3118 S 9th St, Abilene, TX 79605",3.0,2.0,1285.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,1698661000.0,32.439667,-99.76219,,,53289302.0,3118 S 9th St,79605,Abilene,TX,32.439667,-99.76219,135000.0,2.0,3.0,1285.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,127200.0,1350.0,True,False,False,FOR_SALE,135000.0,1698661000.0,True,False,False,USD,USA,120411.0,7405.2,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58313038,ForSale,New Construction,https://photos.zillowstatic.com/fp/5ca01f2d622778702e04c5b7dcf59991-p_e.jpg,True,/homedetails/4703-Clawson-Rd-Austin-TX-78745/58313038_zpid/,FOR_SALE,Active,"$1,249,000",$1.25M,"4703 Clawson Rd, Austin, TX 78745",4.0,4.0,2419.0,False,False,ForSale,New Construction,False,True,False,False,True,False,True,NEW_CONSTRUCTION,False,False,860473000.0,30.221918,-97.78605,SHOWCASE,Showcase,58313038.0,4703 Clawson Rd,78745,Austin,TX,30.221918,-97.78605,1249000.0,4.0,4.0,2419.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,False,False,FOR_SALE,1249000.0,860473000.0,True,False,False,USD,USA,439600.0,5754.276,sqft,True,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,eXp Realty LLC,,,,,,,,,True,BUILDER_SPEC,,,,,,,,,,,,,,,,,,,,,,,
53339399,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/dbaf60be031e9c8022b43dd67b06415b-p_e.jpg,True,/homedetails/2610-Susan-St-Abilene-TX-79606/53339399_zpid/,FOR_SALE,House for sale,"$179,000",$179K,"2610 Susan St, Abilene, TX 79606",3.0,2.0,1886.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,3871698000.0,32.39676,-99.755035,PRICE_REDUCTION,"$16,000 (May 30)",53339399.0,2610 Susan St,79606,Abilene,TX,32.39676,-99.755035,179000.0,2.0,3.0,1886.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,169700.0,1962.0,True,False,False,FOR_SALE,179000.0,3871698000.0,True,False,False,USD,USA,156322.0,9496.08,sqft,False,,,1717052400000.0,"$16,000 (May 30)",-16000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29569949,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5a639c050edf54a398fc05d741a71337-p_e.jpg,True,/homedetails/2505-Deer-Trail-Cir-Round-Rock-TX-78681/29569949_zpid/,FOR_SALE,Active,"$549,000",$549K,"2505 Deer Trail Cir, Round Rock, TX 78681",3.0,2.0,1529.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,259079000.0,30.539192,-97.74306,,,29569949.0,2505 Deer Trail Cir,78681,Round Rock,TX,30.539192,-97.74306,549000.0,2.0,3.0,1529.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,558900.0,2100.0,True,False,False,FOR_SALE,549000.0,259079000.0,True,False,False,USD,USA,604356.0,1.981,acres,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,Team Price Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145658929,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/56206028a6b506b80c8a4ae345c66060-p_e.jpg,True,/homedetails/4305-Front-Range-Ln-Austin-TX-78732/145658929_zpid/,FOR_SALE,Active,"$1,228,500",$1.23M,"4305 Front Range Ln, Austin, TX 78732",5.0,5.0,3963.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,311994000.0,30.380348,-97.880646,OPEN_HOUSE,Open: Sun. 11am-3pm,145658929.0,4305 Front Range Ln,78732,Austin,TX,30.380348,-97.880646,1228500.0,5.0,5.0,3963.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1230600.0,7968.0,True,False,False,FOR_SALE,1228500.0,311994000.0,True,False,False,USD,USA,1003762.0,7535.879999999999,sqft,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,R2 Realty LLC,,,,,,True,Sun. 11am-3pm,"[{'open_house_start': 1717351200000, 'open_house_end': 1717365600000}]",,,,,,,,,,,,,,,,,,,,,,,,,
29545680,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/81374ec9e5e9f873688d5c852fe95e0a-p_e.jpg,True,/homedetails/305-Rockcrest-Dr-Georgetown-TX-78628/29545680_zpid/,FOR_SALE,Active,"$350,000",$350K,"305 Rockcrest Dr, Georgetown, TX 78628",3.0,2.0,1544.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,1478440000.0,30.615217,-97.69694,PRICE_REDUCTION,"$5,000 (May 23)",29545680.0,305 Rockcrest Dr,78628,Georgetown,TX,30.615217,-97.69694,350000.0,2.0,3.0,1544.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,350000.0,1478440000.0,True,False,False,USD,USA,332710.0,9060.48,sqft,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,Keller Williams Realty Lone St,1716447600000.0,"$5,000 (May 23)",-5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29583952,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0b4976579ef6f6bee49d21ca7eccbbb8-p_e.jpg,True,/homedetails/507-Riverview-Dr-Georgetown-TX-78628/29583952_zpid/,FOR_SALE,Active,"$575,000",$575K,"507 Riverview Dr, Georgetown, TX 78628",4.0,3.0,2548.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,2060922000.0,30.615938,-97.71058,OPEN_HOUSE,Open: Sun. 1-4pm,29583952.0,507 Riverview Dr,78628,Georgetown,TX,30.615938,-97.71058,575000.0,3.0,4.0,2548.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,575000.0,2060922000.0,True,False,False,USD,USA,575514.0,8537.76,sqft,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,Keller Williams Realty Lone St,,,,,,True,6/9 1-4pm,"[{'open_house_start': 1717963200000, 'open_house_end': 1717974000000}]",,,,,,,,,,,,,,,,,,,,,,,,,
58316929,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1cc95e134eb9388df02a7a8168ec0c21-p_e.jpg,True,/homedetails/2512-Sunny-Hills-Dr-27-Austin-TX-78744/58316929_zpid/,FOR_SALE,Home for sale,"$114,900",$115K,"2512 Sunny Hills Dr #27, Austin, TX 78744",3.0,2.0,1568.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,1038010000.0,30.173742,-97.763954,,,58316929.0,2512 Sunny Hills Dr #27,78744,Austin,TX,30.173742,-97.763954,114900.0,2.0,3.0,1568.0,MANUFACTURED,FOR_SALE,-1.0,False,False,,2400.0,True,False,False,FOR_SALE,114900.0,1038010000.0,True,False,False,USD,USA,23956.0,,,False,,,,,,2024-05-20 00:00:00,# 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88023095,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4cd1c6bd26657fbdca224671d7d302b0-p_e.jpg,True,/homedetails/1103-Briscoe-Cv-Hutto-TX-78634/88023095_zpid/,FOR_SALE,Active,"$359,990",$360K,"1103 Briscoe Cv, Hutto, TX 78634",4.0,3.0,2390.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,315712000.0,30.532623,-97.56222,,,88023095.0,1103 Briscoe Cv,78634,Hutto,TX,30.532623,-97.56222,359990.0,3.0,4.0,2390.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,360600.0,2100.0,True,False,False,FOR_SALE,359990.0,315712000.0,True,False,False,USD,USA,362746.0,0.2608,acres,False,https://photos.zillowstatic.com/fp/410aa80cbd8a38ab49e64bd71d94162b-zillow_web_48_23.jpg,"The Gardner Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
