zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isRead,variableData.data.isFresh,info6String,hdpData.homeInfo.videoCount,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.unit,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_foreclosure
67505981,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8767aab3d210a0e4fac9582e19a1758a-p_e.jpg,True,/homedetails/1301-E-3rd-St-Washington-MO-63090/67505981_zpid/,FOR_SALE,House for sale,"$225,000",$225K,"1301 E 3rd St, Washington, MO 63090",3.0,3.0,1700.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,RE/MAX Today,252074000,38.550976,-90.99594,,,67505981.0,1301 E 3rd St,63090,Washington,MO,38.550976,-90.99594,225000.0,3.0,3.0,1700.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,227600.0,1350.0,True,False,False,FOR_SALE,225000.0,252074000.0,True,False,False,USD,USA,113730.0,7230.96,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
226465357,ForSale,Non Owner Occupied,https://photos.zillowstatic.com/fp/075ffe73e1b91e509afc8ee32315f8bb-p_e.jpg,True,/homedetails/19749-McFarland-Rd-Sedalia-MO-65301/226465357_zpid/,FOR_SALE,Foreclosure,"$169,900",$170K,"19749 McFarland Rd, Sedalia, MO 65301",3.0,2.0,1736.0,False,False,ForSale,Foreclosure,False,False,False,False,True,False,False,,False,False,,BHG Kansas City Homes,429259000,38.785835,-93.14707,,,226465357.0,19749 McFarland Rd,65301,Sedalia,MO,38.785835,-93.14707,169900.0,2.0,3.0,1736.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,166600.0,1949.0,,False,False,FOR_SALE,169900.0,429259000.0,True,False,False,USD,USA,128740.0,7.91,acres,False,,,,,,,,True,,,,,,,,,,,,,,,,,,
4997832,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e4c08914e968f17815581a97d1005a71-p_e.jpg,True,/homedetails/1875-Evergreen-Ave-Alton-IL-62002/4997832_zpid/,FOR_SALE,House for sale,"$110,000",$110K,"1875 Evergreen Ave, Alton, IL 62002",3.0,2.0,1396.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Tarrant And Harman Real Estate,249988000,38.90643,-90.14202,,,4997832.0,1875 Evergreen Ave,62002,Alton,IL,38.90643,-90.14202,110000.0,2.0,3.0,1396.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,112300.0,1335.0,True,False,False,FOR_SALE,110000.0,249988000.0,True,False,False,USD,USA,93330.0,7927.92,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2532978,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/461faf0a446cd76835cc67829b65e035-p_e.jpg,True,/homedetails/4007-Ridge-Dr-Saint-Peters-MO-63376/2532978_zpid/,FOR_SALE,House for sale,"$329,900",$330K,"4007 Ridge Dr, Saint Peters, MO 63376",3.0,3.0,3090.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Worth Clark Realty,220231000,38.777493,-90.57182,OPEN_HOUSE,Open: Sun. 12-2pm,2532978.0,4007 Ridge Dr,63376,Saint Peters,MO,38.777493,-90.57182,329900.0,3.0,3.0,3090.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,352500.0,2710.0,True,False,False,FOR_SALE,329900.0,220231000.0,True,False,False,USD,USA,253539.0,1.186,acres,False,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,,,,,,,,,,,,,
5244140,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d24188ac8433b000ccaf427eb0dd7b3f-p_e.jpg,True,/homedetails/15-Highwood-Dr-Belleville-IL-62223/5244140_zpid/,FOR_SALE,House for sale,"$89,900",$90K,"15 Highwood Dr, Belleville, IL 62223",3.0,2.0,900.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Keller Williams Marquee,395938000,38.572433,-90.03439,,,5244140.0,15 Highwood Dr,62223,Belleville,IL,38.572433,-90.03439,89900.0,2.0,3.0,900.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,91700.0,1393.0,True,False,False,FOR_SALE,89900.0,395938000.0,True,False,False,USD,USA,32517.0,10454.4,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2729388,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8c29c8aff7369cc67482c3c9f4bf955a-p_e.jpg,True,/homedetails/12049-Greenwalk-Dr-Saint-Louis-MO-63146/2729388_zpid/,FOR_SALE,House for sale,"$362,500",$363K,"12049 Greenwalk Dr, Saint Louis, MO 63146",5.0,3.0,2260.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Keller Williams Chesterfield,233396000,38.68917,-90.44427,OPEN_HOUSE,Open: Sun. 1-3pm,2729388.0,12049 Greenwalk Dr,63146,Saint Louis,MO,38.68917,-90.44427,362500.0,3.0,5.0,2260.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,362500.0,233396000.0,True,False,False,USD,USA,323600.0,9718.236,sqft,False,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",,,,,,,,,,,,,,,,,,,,,,,
2973589,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/e875f6ce60e8a71fd14ffbd4e259778e-p_e.jpg,True,/homedetails/3915-Utah-St-Saint-Louis-MO-63116/2973589_zpid/,FOR_SALE,Coming soon,"$350,000",$350K,"3915 Utah St, Saint Louis, MO 63116",4.0,2.0,2406.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Keller Williams Realty West,766059000,38.59821,-90.250946,OPEN_HOUSE,Open: Wed. 4:30-6:30pm,2973589.0,3915 Utah St,63116,Saint Louis,MO,38.59821,-90.250946,350000.0,2.0,4.0,2406.0,MULTI_FAMILY,FOR_SALE,-1.0,False,False,368900.0,2506.0,,False,False,FOR_SALE,350000.0,766059000.0,True,False,False,USD,USA,57500.0,3811.5,sqft,False,True,Wed. 4:30-6:30pm,"[{'open_house_start': 1717630200000, 'open_house_end': 1717637400000}]",,,,True,,,,,,,,,,,,,,,,,,,
4977544,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/974a36ecb4e43a9e1cda684f5d155139-p_e.jpg,True,/homedetails/3469-Harris-Ln-Bethalto-IL-62010/4977544_zpid/,FOR_SALE,House for sale,"$160,000",$160K,"3469 Harris Ln, Bethalto, IL 62010",3.0,2.0,1800.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Landmark Realty,244367000,38.93101,-90.10419,,,4977544.0,3469 Harris Ln,62010,Bethalto,IL,38.93101,-90.10419,160000.0,2.0,3.0,1800.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,166300.0,1494.0,True,False,False,FOR_SALE,160000.0,244367000.0,True,False,False,USD,USA,129990.0,0.32999999999999996,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2728934,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/15f2a20b7d337bebe3f0216f6f0f9eae-p_e.jpg,True,/homedetails/1416-Jaywood-Dr-Saint-Louis-MO-63146/2728934_zpid/,FOR_SALE,House for sale,"$290,000",$290K,"1416 Jaywood Dr, Saint Louis, MO 63146",3.0,2.0,1426.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Coldwell Banker Realty - Gunda,293788000,38.684875,-90.454285,OPEN_HOUSE,Open: Sun. 1-3pm,2728934.0,1416 Jaywood Dr,63146,Saint Louis,MO,38.684875,-90.454285,290000.0,2.0,3.0,1426.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,290000.0,293788000.0,True,False,False,USD,USA,247400.0,0.4256,acres,False,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",,,,,,,,,,,,,,,,,,,,,,,
2566374,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/2a1926bf942099c1a2b8f5d915ae427a-p_e.jpg,True,/homedetails/1955-Woodland-Ct-Wentzville-MO-63385/2566374_zpid/,FOR_SALE,Coming soon,"$425,000",$425K,"1955 Woodland Ct, Wentzville, MO 63385",4.0,3.0,2174.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Envision Realty,85888000,38.829403,-90.88876,OPEN_HOUSE,Open: Thu. 5-7pm,2566374.0,1955 Woodland Ct,63385,Wentzville,MO,38.829403,-90.88876,425000.0,3.0,4.0,2174.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,415700.0,2540.0,,False,False,FOR_SALE,425000.0,85888000.0,True,False,False,USD,USA,345836.0,0.53,acres,False,True,Thu. 5-7pm,"[{'open_house_start': 1717718400000, 'open_house_end': 1717725600000}]",,,,True,,,,,,,,,,,,,,,,,,,
