zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info3String,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.videoCount,hdpData.homeInfo.unit,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,lotAreaString,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,builderName,communityName,availabilityDate,hdpData.homeInfo.providerListingID,plid,isCdpResult,isComingSoonCommunity,variableData.type,variableData.text
23582060,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4522a6d8cd490cce1b41cb3668f55053-p_e.jpg,True,/homedetails/12903-E-31st-Ave-Spokane-WA-99216/23582060_zpid/,FOR_SALE,House for sale,"$360,000",$360K,"12903 E 31st Ave, Spokane, WA 99216",2.0,2.0,1344.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Keller Williams Spokane - Main,312122000.0,47.628666,-117.23156,23582060.0,12903 E 31st Ave,99216,Spokane,WA,47.628666,-117.23156,360000.0,2.0,2.0,1344.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,360000.0,312122000.0,True,False,False,USD,USA,282100.0,0.25,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103901931,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2e4ebb68d954b3582749111c4cba9f87-p_e.jpg,True,/homedetails/11598-W-Pine-St-Sandpoint-ID-83864/103901931_zpid/,FOR_SALE,House for sale,"$1,200,000",$1.20M,"11598 W Pine St, Sandpoint, ID 83864",4.0,4.0,3063.0,20 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Hometown Real Estate,73174000.0,48.278053,-116.6117,103901931.0,11598 W Pine St,83864,Sandpoint,ID,48.278053,-116.6117,1200000.0,4.0,4.0,3063.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1195100.0,4301.0,True,False,False,FOR_SALE,1200000.0,73174000.0,True,False,False,USD,USA,893507.0,5.33,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351157684,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8adf1c0f3f3f850e36840f5cc3ee5ad1-p_e.jpg,True,/homedetails/1174-S-Holland-Lake-Rd-Condon-MT-59826/351157684_zpid/,FOR_SALE,Active,"$595,000",$595K,"1174 S Holland Lake Rd, Condon, MT 59826",3.0,1.0,936.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Jason Harding,Ink Realty Group,403356000.0,47.443504,-113.60385,351157684.0,1174 S Holland Lake Rd,59826,Condon,MT,47.443504,-113.60385,595000.0,1.0,3.0,936.0,LOT,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,595000.0,403356000.0,True,False,False,USD,USA,,0.635,acres,False,https://photos.zillowstatic.com/fp/fef845808d403e687f34f3a277cb6e7c-zillow_web_48_23.jpg,,,,,,,,,,,0.64 acres,,,,,,,,,,,,,,,,,,,
3117004,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1e6404956326c1c1f7e11853f6bc888b-p_e.jpg,True,/homedetails/633-Skyline-Dr-NE-Great-Falls-MT-59404/3117004_zpid/,FOR_SALE,Active,"$395,000",$395K,"633 Skyline Dr NE, Great Falls, MT 59404",3.0,2.0,2124.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,Wyatt Gremaux,Ridgeline Real Estate,230556000.0,47.5343,-111.29662,3117004.0,633 Skyline Dr NE,59404,Great Falls,MT,47.5343,-111.29662,395000.0,2.0,3.0,2124.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,371800.0,1800.0,True,False,False,FOR_SALE,395000.0,230556000.0,True,False,False,USD,USA,313500.0,9104.04,sqft,False,https://photos.zillowstatic.com/fp/fef845808d403e687f34f3a277cb6e7c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212877783,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/be4294a6f169a89e618ee0ee9ce79ff9-p_e.jpg,True,/homedetails/700-Lodgepole-Rd-Whitefish-MT-59937/212877783_zpid/,FOR_SALE,Active,"$3,500,000",$3.50M,"700 Lodgepole Rd, Whitefish, MT 59937",3.0,2.0,2200.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Amy Michelle Stevens,"Revel Real Estate, Inc",144156000.0,48.36754,-114.449196,212877783.0,700 Lodgepole Rd,59937,Whitefish,MT,48.36754,-114.449196,3500000.0,2.0,3.0,2200.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,3249.0,True,False,False,FOR_SALE,3500000.0,144156000.0,True,False,False,USD,USA,1432400.0,10.0,acres,False,https://photos.zillowstatic.com/fp/fef845808d403e687f34f3a277cb6e7c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86336425,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4d6780890648bb4564f7fee88f5d1de5-p_e.jpg,True,/homedetails/318-S-20th-St-La-Grande-OR-97850/86336425_zpid/,FOR_SALE,Active,"$1,350,000",$1.35M,"318 S 20th St, La Grande, OR 97850",6.0,4.0,4226.0,19 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,,High Country Realty Professionals,144156000.0,45.308964,-118.07694,86336425.0,318 S 20th St,97850,La Grande,OR,45.308964,-118.07694,1350000.0,4.0,6.0,4226.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,1350000.0,144156000.0,True,False,False,USD,USA,846010.0,0.9099999999999999,acres,False,https://photos.zillowstatic.com/fp/53950349e40fb6dbfa60c0e2b93ad35b-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23493255,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/061a87d69f3ce563e6c566f098b41f52-p_e.jpg,True,/homedetails/6023-N-Driscoll-Blvd-Spokane-WA-99205/23493255_zpid/,FOR_SALE,House for sale,"$299,999",$300K,"6023 N Driscoll Blvd, Spokane, WA 99205",3.0,1.0,1068.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Amplify Real Estate Services,256472000.0,47.713474,-117.47495,23493255.0,6023 N Driscoll Blvd,99205,Spokane,WA,47.713474,-117.47495,299999.0,1.0,3.0,1068.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,308900.0,1694.0,True,False,False,FOR_SALE,299999.0,256472000.0,True,False,False,USD,USA,290600.0,6534.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82220266,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1d883c2c94e55450d2ac1a825e6baac4-p_e.jpg,True,/homedetails/6722-S-Shelby-Ridge-St-Spokane-WA-99224/82220266_zpid/,FOR_SALE,House for sale,"$725,000",$725K,"6722 S Shelby Ridge St, Spokane, WA 99224",4.0,4.0,3688.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Windermere City Group,341440000.0,47.592133,-117.41717,82220266.0,6722 S Shelby Ridge St,99224,Spokane,WA,47.592133,-117.41717,725000.0,4.0,4.0,3688.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,725000.0,341440000.0,True,False,False,USD,USA,851600.0,9583.2,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78168518,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/de39f7a94ecca4c50a14112b4dad8abf-p_e.jpg,True,/homedetails/1715-Virginia-Dale-St-Helena-MT-59601/78168518_zpid/,FOR_SALE,Active,"$749,000",$749K,"1715 Virginia Dale St, Helena, MT 59601",3.0,4.0,2515.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,Jeri Matthews,"Big Sky Brokers, LLC",403356000.0,46.574173,-112.01098,78168518.0,1715 Virginia Dale St,59601,Helena,MT,46.574173,-112.01098,749000.0,4.0,3.0,2515.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,762500.0,2800.0,True,False,False,FOR_SALE,749000.0,403356000.0,True,False,False,USD,USA,712324.0,0.41,acres,False,https://photos.zillowstatic.com/fp/fef845808d403e687f34f3a277cb6e7c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212923330,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7bc3174dcc718b0d67d85678400a8ee1-p_e.jpg,True,/homedetails/850-Candlelight-Dr-Bozeman-MT-59718/212923330_zpid/,FOR_SALE,House for sale,"$5,900,000",$5.90M,"850 Candlelight Dr, Bozeman, MT 59718",7.0,9.0,16423.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by Big Sky Country MLS,Jill Pike,PureWest Christie's Int'l Real Estate - Bozeman,337137000.0,45.719215,-111.13565,212923330.0,850 Candlelight Dr,59718,Bozeman,MT,45.719215,-111.13565,5900000.0,9.0,7.0,16423.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,5900000.0,337137000.0,True,False,False,USD,USA,4765013.0,3.24,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/e7063810bcb6e7384eff6baad1895626-p_e.jpg,True,"/b/building/48.145206,-116.17573_ll/",FOR_SALE,For Rent,"From $149,900",,"Nka 100acs Johnson Lakeview 278, Clark Fork, ID",,,,,,,,,,,False,,False,False,False,False,,False,,,,,33493924000.0,48.145206,-116.17573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1395.0,48.145206--116.17573,True,False,5.0,,,,,,,,,,,,
110328199,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3ba46f5ff8546093b0dc01ce1b0bf317-p_e.jpg,True,/homedetails/1721-Hemlock-Ave-Lewiston-ID-83501/110328199_zpid/,FOR_SALE,New,"$540,000",$540K,"1721 Hemlock Ave, Lewiston, ID 83501",5.0,3.0,3066.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Silvercreek Realty Group,177564000.0,46.364166,-116.94101,110328199.0,1721 Hemlock Ave,83501,Lewiston,ID,46.364166,-116.94101,540000.0,3.0,5.0,3066.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,540000.0,177564000.0,True,False,False,USD,USA,494566.0,0.347,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123356638,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8204c88764dd0458d82d0cbb08d97bde-p_e.jpg,True,/homedetails/181-Gregory-Creek-Rd-White-Bird-ID-83554/123356638_zpid/,FOR_SALE,New,"$658,000",$658K,"181 Gregory Creek Rd, White Bird, ID 83554",2.0,2.0,2297.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Selling Idaho Real Estate,88918000.0,45.753284,-116.33487,123356638.0,181 Gregory Creek Rd,83554,White Bird,ID,45.753284,-116.33487,658000.0,2.0,2.0,2297.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,653300.0,1700.0,True,False,False,FOR_SALE,658000.0,88918000.0,True,False,False,USD,USA,424821.0,20.43,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
