zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.unit,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isRead,variableData.data.isFresh,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.videoCount,info3String,hdpData.homeInfo.listing_sub_type.is_bankOwned
25815413,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b59f2f134f4be590905ee4eb2d6313f1-p_e.jpg,True,/homedetails/5371-Bradford-Dr-Sacramento-CA-95820/25815413_zpid/,FOR_SALE,House for sale,"$340,000",$340K,"5371 Bradford Dr, Sacramento, CA 95820",2.0,1.0,858.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,204882000,38.527042,-121.41407,,,25815413.0,5371 Bradford Dr,95820,Sacramento,CA,38.527042,-121.41407,340000.0,1.0,2.0,858.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,,,False,False,FOR_SALE,340000.0,,204882000.0,True,False,False,USD,USA,39212.0,4792.0,sqft,False,344900.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,
17673694,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f253817b7c414d4c9495c6af7c64376a-p_e.jpg,True,/homedetails/6158-Camphor-Ct-Loomis-CA-95650/17673694_zpid/,FOR_SALE,House for sale,"$749,000",$749K,"6158 Camphor Ct, Loomis, CA 95650",3.0,2.0,1894.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,263571000,38.82588,-121.18795,OPEN_HOUSE,Open: Sun. 12-3pm,17673694.0,6158 Camphor Ct,95650,Loomis,CA,38.82588,-121.18795,749000.0,2.0,3.0,1894.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 12-3pm,False,False,FOR_SALE,749000.0,"[{'open_house_start': 1717354800000, 'open_house_end': 1717365600000}, {'open_house_start': 1717365600000, 'open_house_end': 1717376400000}]",263571000.0,True,False,False,USD,USA,605791.0,9831.492,sqft,False,793400.0,3099.0,,,,,,,,,,,,,,,,,,,,,,,
2082784028,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d4583aac5b02dd6b539266f0b8e82847-p_e.jpg,True,/homedetails/545-Oxford-Ave-Palo-Alto-CA-94306/2082784028_zpid/,FOR_SALE,House for sale,"$2,695,000",$2.70M,"545 Oxford Ave, Palo Alto, CA 94306",4.0,4.0,2486.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,152336000,37.42639,-122.14895,OPEN_HOUSE,Open: Sun. 1-4pm,2082784028.0,545 Oxford Ave,94306,Palo Alto,CA,37.42639,-122.14895,2695000.0,4.0,4.0,2486.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 1-4pm,False,False,FOR_SALE,2695000.0,"[{'open_house_start': 1717358400000, 'open_house_end': 1717369200000}]",152336000.0,True,False,False,USD,USA,,2933.0,sqft,False,2893600.0,7929.0,,,,,,,,,,,,,,,,,,,,,,,
18435730,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/229893c9a40c519bd9cb809a86dd8e9d-p_e.jpg,True,/homedetails/81-Eagle-Ridge-Pl-Danville-CA-94506/18435730_zpid/,FOR_SALE,House for sale,"$24,998,000",$25.0M,"81 Eagle Ridge Pl, Danville, CA 94506",7.0,14.0,26627.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,317347000,37.821686,-121.909996,OPEN_HOUSE,Open: Sun. 1-5pm,18435730.0,81 Eagle Ridge Pl,94506,Danville,CA,37.821686,-121.909996,24998000.0,14.0,7.0,26627.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 1-5pm,False,False,FOR_SALE,24998000.0,"[{'open_house_start': 1717358400000, 'open_house_end': 1717372800000}]",317347000.0,True,False,False,USD,USA,11185697.0,4.54,acres,False,,35542.0,,,,,,,,,,,,,,,,,,,,,,,
19451530,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5e1c0424b1378e6e51176b8c4132a821-p_e.jpg,True,/homedetails/12930-Echo-Glen-Rd-Grass-Valley-CA-95945/19451530_zpid/,FOR_SALE,House for sale,"$375,000",$375K,"12930 Echo Glen Rd, Grass Valley, CA 95945",2.0,2.0,1200.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,169175000,39.205536,-120.96326,,,19451530.0,12930 Echo Glen Rd,95945,Grass Valley,CA,39.205536,-120.96326,375000.0,2.0,2.0,1200.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,,,False,False,FOR_SALE,375000.0,,169175000.0,True,False,False,USD,USA,241784.0,7.09,acres,False,386900.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,
15108155,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/60e4ebd17311c46ca2c310fa7c670bc3-p_e.jpg,True,/homedetails/4000-Moraga-St-San-Francisco-CA-94122/15108155_zpid/,FOR_SALE,House for sale,"$1,398,000",$1.40M,"4000 Moraga St, San Francisco, CA 94122",3.0,2.0,1430.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Michael Minson DRE #01921338,KW Advisors,249547000,37.754963,-122.50578,OPEN_HOUSE,Open: Sun. 11am-1pm,15108155.0,4000 Moraga St,94122,San Francisco,CA,37.754963,-122.50578,1398000.0,2.0,3.0,1430.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 11am-1pm,False,False,FOR_SALE,1398000.0,"[{'open_house_start': 1717351200000, 'open_house_end': 1717358400000}, {'open_house_start': 1717362000000, 'open_house_end': 1717369200000}, {'open_house_start': 1717441200000, 'open_house_end': 1717448400000}, {'open_house_start': 1717621200000, 'open_house_end': 1717628400000}, {'open_house_start': 1717714800000, 'open_house_end': 1717722000000}, {'open_house_start': 1717801200000, 'open_house_end': 1717808400000}, {'open_house_start': 1717869600000, 'open_house_end': 1717876800000}, {'open_house_start': 1717880400000, 'open_house_end': 1717887600000}, {'open_house_start': 1717956000000, 'open_house_end': 1717963200000}, {'open_house_start': 1717966800000, 'open_house_end': 1717974000000}, {'open_house_start': 1718046000000, 'open_house_end': 1718053200000}, {'open_house_start': 1718136000000, 'open_house_end': 1718143200000}]",249547000.0,True,False,False,USD,USA,1534716.0,1751.112,sqft,False,1736600.0,4395.0,,,,,,,,,,,,,,,,,,,,,,,
19560183,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a915693021aeb05cda04101ca6264a27-p_e.jpg,True,/homedetails/1229-Rosebriar-Way-San-Jose-CA-95131/19560183_zpid/,FOR_SALE,House for sale,"$1,388,000",$1.39M,"1229 Rosebriar Way, San Jose, CA 95131",4.0,3.0,1599.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,330850000,37.377834,-121.87756,OPEN_HOUSE,Open: Sun. 1-4pm,19560183.0,1229 Rosebriar Way,95131,San Jose,CA,37.377834,-121.87756,1388000.0,3.0,4.0,1599.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 1-4pm,False,False,FOR_SALE,1388000.0,"[{'open_house_start': 1717358400000, 'open_house_end': 1717369200000}]",330850000.0,True,False,False,USD,USA,263530.0,5227.0,sqft,False,1524300.0,4329.0,,,,,,,,,,,,,,,,,,,,,,,
245492145,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3a3605027b87268b02d6fe3caf4ad197-p_e.jpg,True,/homedetails/3241-Hoot-Owl-Loop-Rocklin-CA-95765/245492145_zpid/,FOR_SALE,House for sale,"$1,200,000",$1.20M,"3241 Hoot Owl Loop, Rocklin, CA 95765",4.0,5.0,3493.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,False,,False,False,,,259411000,38.826317,-121.26175,OPEN_HOUSE,Open: Sun. 1-3pm,245492145.0,3241 Hoot Owl Loop,95765,Rocklin,CA,38.826317,-121.26175,1200000.0,5.0,4.0,3493.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 1-3pm,False,False,FOR_SALE,1200000.0,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",259411000.0,True,False,False,USD,USA,958750.0,10864.0,sqft,False,1216700.0,5093.0,,,,,,,,,,,,,,,,,,,,,,,
15258334,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/48fe462a0fbf7377fbbb1184d7b5989c-p_e.jpg,True,/homedetails/24770-N-Fuhrman-Rd-Acampo-CA-95220/15258334_zpid/,FOR_SALE,House for sale,"$679,950",$680K,"24770 N Fuhrman Rd, Acampo, CA 95220",3.0,2.0,1590.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,165778000,38.213287,-121.13745,,,15258334.0,24770 N Fuhrman Rd,95220,Acampo,CA,38.213287,-121.13745,679950.0,2.0,3.0,1590.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,,,False,False,FOR_SALE,679950.0,,165778000.0,True,False,False,USD,USA,233327.0,5.0,acres,False,709100.0,2650.0,,,,,,,,,,,,,,,,,,,,,,,
15120859,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/aaa4b6bcea1edbefb7b880215e9483bd-p_e.jpg,True,/homedetails/2321-34th-Ave-San-Francisco-CA-94116/15120859_zpid/,FOR_SALE,House for sale,"$999,000",$999K,"2321 34th Ave, San Francisco, CA 94116",2.0,1.0,1510.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,165008000,37.743694,-122.49218,OPEN_HOUSE,Open: Sun. 1-4pm,15120859.0,2321 34th Ave,94116,San Francisco,CA,37.743694,-122.49218,999000.0,1.0,2.0,1510.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,True,Sun. 1-4pm,False,False,FOR_SALE,999000.0,"[{'open_house_start': 1717358400000, 'open_house_end': 1717369200000}]",165008000.0,True,False,False,USD,USA,80329.0,2722.0,sqft,False,1164800.0,3934.0,,,,,,,,,,,,,,,,,,,,,,,
