zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,availabilityDate,info2String,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.videoCount,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.unit,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction
73168806,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/675f04f600a555a66df908a1f0e7a082-p_e.jpg,True,/homedetails/7024-Piegan-Pl-Fort-Wayne-IN-46815/73168806_zpid/,FOR_SALE,House for sale,"$220,000",$220K,"7024 Piegan Pl, Fort Wayne, IN 46815",3.0,2.0,1448.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Alyssa Schendel,North Eastern Group Realty,276053000,41.107323,-85.0511,73168806,7024 Piegan Pl,46815,Fort Wayne,IN,41.107323,-85.0511,220000.0,2.0,3.0,1448.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,220000.0,276053000,True,False,False,USD,USA,167200.0,10018.800000000001,sqft,False,,,,223700.0,1749.0,,Listing provided by IRMLS,,,,,,,,,,,,
103980010,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6304c671ef4bc0824dcd4874ccb20546-p_e.jpg,True,/homedetails/18391-State-Route-41-West-Union-OH-45693/103980010_zpid/,FOR_SALE,House for sale,"$179,900",$180K,"18391 State Route 41, West Union, OH 45693",3.0,2.0,1512.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,"MAX Sells Real Estate, LLC",404107000,38.851994,-83.47682,103980010,18391 State Route 41,45693,West union,OH,38.851994,-83.47682,179900.0,2.0,3.0,1512.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,179900.0,404107000,True,False,False,USD,USA,138300.0,6.168,acres,False,,,,179400.0,1450.0,,,,,,,,,,,,,,
33970596,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b9cee92e61ee7b597cd2138477fe9aed-p_e.jpg,True,/homedetails/3345-Highland-St-Grove-City-OH-43123/33970596_zpid/,FOR_SALE,House for sale,"$284,900",$285K,"3345 Highland St, Grove City, OH 43123",3.0,2.0,1301.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/b9b8fce101be68bfcc678a89fbcc9a88-zillow_web_48_23.jpg,Brian A Stokes,Coldwell Banker Realty,404107000,39.89528,-83.0721,33970596,3345 Highland St,43123,Grove City,OH,39.89528,-83.0721,284900.0,2.0,3.0,1301.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,284900.0,404107000,True,False,False,USD,USA,235700.0,8712.0,sqft,False,,,,,,,,,,,,,,,,,,,
35664129,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6a561fa2666b422569ae406bc2577118-p_e.jpg,True,/homedetails/25742-Luckey-Rd-Perrysburg-OH-43551/35664129_zpid/,FOR_SALE,House for sale,"$167,000",$167K,"25742 Luckey Rd, Perrysburg, OH 43551",3.0,2.0,1489.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,Keller Williams Realty Elevate,260767000,41.525517,-83.49139,35664129,25742 Luckey Rd,43551,Perrysburg,OH,41.525517,-83.49139,167000.0,2.0,3.0,1489.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,167000.0,260767000,True,False,False,USD,USA,119100.0,0.3384,acres,False,,,,173700.0,1500.0,,,,,,,,,,,,,,
73271788,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4c9bc9039e26fcd11c1d22315c7bc2e1-p_e.jpg,True,/homedetails/11284-Crooked-Stick-Ln-Carmel-IN-46032/73271788_zpid/,FOR_SALE,Active,"$1,499,999",$1.50M,"11284 Crooked Stick Ln, Carmel, IN 46032",3.0,7.0,5525.0,3D Tour,threeDHome,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,,Circle Real Estate,258282000,39.95154,-86.184685,73271788,11284 Crooked Stick Ln,46032,Carmel,IN,39.95154,-86.184685,1499999.0,7.0,3.0,5525.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,1499999.0,258282000,True,False,False,USD,USA,1251600.0,1.5,acres,False,,,,,,,,,,,,,,,,,,,
1085374,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b761dfb8c29f2dca728f5ea846dd7ea0-p_e.jpg,True,/homedetails/707-Terrace-Ave-Indianapolis-IN-46203/1085374_zpid/,FOR_SALE,Active,"$299,900",$300K,"707 Terrace Ave, Indianapolis, IN 46203",3.0,2.0,1870.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,,,Go Fish Realty,817255000,39.7481,-86.1472,1085374,707 Terrace Ave,46203,Indianapolis,IN,39.7481,-86.1472,299900.0,2.0,3.0,1870.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,299900.0,817255000,True,False,False,USD,USA,263800.0,3484.8,sqft,True,,,,,,,,,,,,,,,,,,,
34920741,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0a2438f9775a0895167ee781d32f4d4f-p_e.jpg,True,/homedetails/425-W-Franklin-St-Troy-OH-45373/34920741_zpid/,FOR_SALE,House for sale,"$179,900",$180K,"425 W Franklin St, Troy, OH 45373",3.0,2.0,1170.0,"Price cut: $20,000 (May 31)",priceCut,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/a95333ee7e8f4ea2e649633db76c1a00-zillow_web_48_23.jpg,Lisa Nishwitz,Coldwell Banker Heritage,327637000,40.040707,-84.20844,34920741,425 W Franklin St,45373,Troy,OH,40.040707,-84.20844,179900.0,2.0,3.0,1170.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,179900.0,327637000,True,False,False,USD,USA,101500.0,2613.6,sqft,False,,,,180500.0,1400.0,,,,1717138800000.0,"$20,000 (May 31)",-20000.0,,,,,,,,
34065016,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/73223ea4ab0ecd21fbdabe6a2822ca1c-p_e.jpg,True,/homedetails/5547-Parker-Hill-Ln-Dublin-OH-43017/34065016_zpid/,FOR_SALE,House for sale,"$500,000",$500K,"5547 Parker Hill Ln, Dublin, OH 43017",4.0,3.0,2796.0,3D Tour,threeDHome,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/b9b8fce101be68bfcc678a89fbcc9a88-zillow_web_48_23.jpg,Richard A Wright,"RE/MAX Affiliates, Inc.",317707000,40.116783,-83.14184,34065016,5547 Parker Hill Ln,43017,Dublin,OH,40.116783,-83.14184,500000.0,3.0,4.0,2796.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,500000.0,317707000,True,False,False,USD,USA,470800.0,0.32999999999999996,acres,False,,,,,,,,,,,,,,,,,,,
73117197,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/8e8b06d56f367c5e1bae5aea66882918-p_e.jpg,True,/homedetails/309-Lexington-Ct-Fort-Wayne-IN-46806/73117197_zpid/,FOR_SALE,House for sale,"$140,000",$140K,"309 Lexington Ct, Fort Wayne, IN 46806",3.0,1.0,1422.0,Open: Sun 1pm-3pm,openHouse,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,Warren Barnes,North Eastern Group Realty,260052000,41.047283,-85.13444,73117197,309 Lexington Ct,46806,Fort Wayne,IN,41.047283,-85.13444,140000.0,1.0,3.0,1422.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,140000.0,260052000,True,False,False,USD,USA,151200.0,5479.848,sqft,False,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",140500.0,974.0,,Listing provided by IRMLS,,,,,,,,,,,,
34357409,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2928195e5f5358733bddd52f16f917c5-p_e.jpg,True,/homedetails/221-Porter-St-Cleves-OH-45002/34357409_zpid/,FOR_SALE,House for sale,"$149,000",$149K,"221 Porter St, Cleves, OH 45002",2.0,1.0,1380.0,3D Tour,threeDHome,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,,"3CRE Residential Advisors, LLC",144907000,39.164867,-84.75023,34357409,221 Porter St,45002,Cleves,OH,39.164867,-84.75023,149000.0,1.0,2.0,1380.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,True,False,False,FOR_SALE,149000.0,144907000,True,False,False,USD,USA,99400.0,5314.32,sqft,False,,,,,,,,,,,,,,,,,,,
