zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info2String,hdpData.homeInfo.unit,info3String,isNewYorkState,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_comingSoon,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,lotId,buildingName
56354935,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0b924d83f0ad4a94210ef3a18a3ba392-p_e.jpg,True,/homedetails/36-Grafton-St-Wakefield-MA-01880/56354935_zpid/,FOR_SALE,House for sale,"$699,900",$700K,"36 Grafton St, Wakefield, MA 01880",4.0,2.0,1232.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Leeman & Gately,Compass,318105000.0,42.477398,-71.05865,,,56354935.0,36 Grafton St,01880,Wakefield,MA,42.477398,-71.05865,699900.0,2.0,4.0,1232.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,779500.0,3999.0,True,,,False,False,FOR_SALE,699900.0,,318105000.0,True,False,False,USD,USA,602000.0,7051.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,
303817714,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/143b544ee23b1b0657099453c1b75b67-p_e.jpg,True,/homedetails/356-Points-N-Stowe-VT-05672/303817714_zpid/,FOR_SALE,Active,"$1,400,000",$1.40M,"356 Points North Road, Stowe, VT 05672",4.0,4.0,3248.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,223748000.0,44.433792,-72.70961,,,303817714.0,356 Points North Road,05672,Stowe,VT,44.433792,-72.70961,1400000.0,4.0,4.0,3248.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1477100.0,4519.0,True,,,False,False,FOR_SALE,1400000.0,,223748000.0,True,False,False,USD,USA,489800.0,6.2,acres,False,Listing provided by PrimeMLS,,,,,,,,,,,,,,,,,,,,,,
86867948,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/30d683c46700206ff5927a892ac1c703-p_e.jpg,True,/homedetails/5-Croghan-Ln-Durham-NH-03824/86867948_zpid/,FOR_SALE,Active,"$449,900",$450K,"5 Croghan Lane, Durham, NH 03824",3.0,2.0,1128.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,353819000.0,43.128693,-70.9289,,,86867948.0,5 Croghan Lane,03824,Durham,NH,43.128693,-70.9289,449900.0,2.0,3.0,1128.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,482800.0,2900.0,True,,,False,False,FOR_SALE,449900.0,,353819000.0,True,False,False,USD,USA,278700.0,0.4100091827364555,acres,False,Listing provided by PrimeMLS,,,,,,,,,,,,,,,,,,,,,,
86819104,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bda6034ba41f80d3838325fefe814c9b-p_e.jpg,True,/homedetails/56-North-Rd-Deerfield-NH-03037/86819104_zpid/,FOR_SALE,Active,"$575,000",$575K,"56 North Road, Deerfield, NH 03037",3.0,3.0,2944.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,190970000.0,43.145855,-71.23528,OPEN_HOUSE,Open: Sun. 11am-1pm,86819104.0,56 North Road,03037,Deerfield,NH,43.145855,-71.23528,575000.0,3.0,3.0,2944.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,True,Sun. 11am-1pm,False,False,FOR_SALE,575000.0,"[{'open_house_start': 1717351200000, 'open_house_end': 1717358400000}]",190970000.0,True,False,False,USD,USA,375700.0,2.01,acres,False,Listing provided by PrimeMLS,,,,,,,,,,,,,,,,,,,,,,
59176553,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3543f00d93ecc1e147edc1cf1f9e544b-p_e.jpg,True,/homedetails/130-Commonwealth-Ave-Boston-MA-02116/59176553_zpid/,FOR_SALE,House for sale,"$29,900,000",$29.9M,"130 Commonwealth Ave, Boston, MA 02116",6.0,10.0,10022.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,William Montero,Gibson Sotheby's International Realty,2046105000.0,42.351658,-71.077286,,,59176553.0,130 Commonwealth Ave,02116,Boston,MA,42.351658,-71.077286,29900000.0,10.0,6.0,10022.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,27932400.0,53269.0,True,,,False,False,FOR_SALE,29900000.0,,2046105000.0,True,False,False,USD,USA,14331900.0,3237.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,
2066716701,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/de879d69552423619ce0bdc91e2ae543-p_e.jpg,True,/homedetails/1313-Canal-Rd-LOT-1-43-Sanbornville-NH-03872/2066716701_zpid/,FOR_SALE,Active,"$749,900",$750K,"1313 Canal Road Lot 1 (1313) Canal Rd & Lot 43 Leisure Ln, Wakefield, NH 03872",5.0,2.0,1528.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,229167000.0,43.569656,-70.97355,,,2066716701.0,1313 Canal Road Lot 1 (1313) Canal Rd & Lot 43 Leisure Ln,03872,Sanbornville,NH,43.569656,-70.97355,749900.0,2.0,5.0,1528.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,,,False,False,FOR_SALE,749900.0,,229167000.0,True,False,False,USD,USA,,5.28,acres,False,Listing provided by PrimeMLS,Lot 1-43,,,,,,,,,,,,,,,,,,,,,
84895389,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5fa24bf5b1efd1d698fa2169e0ce5dc1-p_e.jpg,True,/homedetails/57-Gleckler-Rd-Portland-ME-04103/84895389_zpid/,FOR_SALE,Active,"$649,000",$649K,"57 Gleckler Road, Portland, ME 04103",3.0,2.0,1550.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,Keller Williams Realty,,43.680428,-70.28118,3D_HOME,3D Tour,84895389.0,57 Gleckler Road,04103,Portland,ME,43.680428,-70.28118,649000.0,2.0,3.0,1550.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,702900.0,3699.0,True,,,False,False,FOR_SALE,649000.0,,,True,False,False,USD,USA,318900.0,5227.2,sqft,False,,,https://photos.zillowstatic.com/fp/8a527630cff130a4fd88976dcbd26ba8-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,
57656386,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cb4118681fbf9a0a925a106c18113324-p_e.jpg,True,/homedetails/38-Cote-Ln-Sutton-MA-01590/57656386_zpid/,FOR_SALE,House for sale,"$365,000",$365K,"38 Cote Ln, Sutton, MA 01590",1.0,1.0,723.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Melissa Ellison,Mathieu Newton Sotheby's International Realty,836505000.0,42.100334,-71.75422,,,57656386.0,38 Cote Ln,01590,Sutton,MA,42.100334,-71.75422,365000.0,1.0,1.0,723.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,381400.0,1800.0,True,,,False,False,FOR_SALE,365000.0,,836505000.0,True,False,False,USD,USA,273900.0,0.26000918273645546,acres,False,,,,,,,,,,,,,,,,,,,,,,,
56690061,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/daa437f6109e4482a9f9558a89adae26-p_e.jpg,True,/homedetails/6-Seneca-Dr-Ashburnham-MA-01430/56690061_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"6 Seneca Dr, Ashburnham, MA 01430",3.0,1.0,1243.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,Kurt Thompson,RE/MAX Liberty,490905000.0,42.688923,-71.97631,3D_HOME,3D Tour,56690061.0,6 Seneca Dr,01430,Ashburnham,MA,42.688923,-71.97631,350000.0,1.0,3.0,1243.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,367800.0,2485.0,True,,,False,False,FOR_SALE,350000.0,,490905000.0,True,False,False,USD,USA,238300.0,0.2907943067033976,acres,False,,,,,,,,,,,,,,,,,,,,,,,
57447870,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f768cb137f9090df231fe95c288fbc42-p_e.jpg,True,/homedetails/55-Chestnut-St-Foxboro-MA-02035/57447870_zpid/,FOR_SALE,House for sale,"$400,000",$400K,"55 Chestnut St, Foxboro, MA 02035",4.0,2.0,1341.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Julie Gross,Coldwell Banker Realty - Westwood,404505000.0,42.07581,-71.24944,,,57447870.0,55 Chestnut St,02035,Foxboro,MA,42.07581,-71.24944,400000.0,2.0,4.0,1341.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,434600.0,3534.0,True,,,False,False,FOR_SALE,400000.0,,404505000.0,True,False,False,USD,USA,338100.0,0.4866850321395776,acres,False,,,,,,,,,,,,,,,,,,,,,,,
