zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.taxAssessedValue,info3String,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,availabilityDate,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount
351225033,ForSale,New Construction,https://photos.zillowstatic.com/fp/e41dea0ceb9a51dd13361b14fa0fe072-p_e.jpg,True,/homedetails/4243-Three-Bridge-Rd-Powhatan-VA-23139/351225033_zpid/,FOR_SALE,New construction,"$395,995",$396K,"4243 Three Bridge Rd, Powhatan, VA 23139",3.0,2.0,1500.0,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,False,Listing provided by CVRMLS,Hometown Realty,379063000,37.58036,-77.94632,,,351225033.0,4243 Three Bridge Rd,23139,Powhatan,VA,37.58036,-77.94632,395995.0,2.0,3.0,1500.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,False,False,FOR_SALE,395995.0,379063000.0,True,False,False,USD,USA,2.0,acres,False,,,,,,,,,,,,,,,,,,True,BUILDER_SPEC,,,,,,,
107859858,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7cf754e288ee7c55e69cacdafb4968f8-p_e.jpg,True,/homedetails/126-Scarey-Ln-Hillsville-VA-24343/107859858_zpid/,FOR_SALE,Home for sale,"$45,000",$45K,"126 Scarey Ln, Hillsville, VA 24343",3.0,2.0,1392.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Wythe County Real Estate,181517000,36.76511,-80.72787,,,107859858.0,126 Scarey Ln,24343,Hillsville,VA,36.76511,-80.72787,45000.0,2.0,3.0,1392.0,MANUFACTURED,FOR_SALE,-1.0,False,False,45100.0,1200.0,True,False,False,FOR_SALE,45000.0,181517000.0,True,False,False,USD,USA,0.52,acres,False,64100.0,https://photos.zillowstatic.com/fp/0b83aed79714ed5a2474848bdfb3710c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,
79164297,ForSale,Non Owner Occupied,https://photos.zillowstatic.com/fp/feab7477c2e7e8ae3d4785a6ffeb4720-p_e.jpg,True,/homedetails/819-Church-Hill-Rd-Etlan-VA-22719/79164297_zpid/,FOR_SALE,Auction,$199K,$199K,"819 Church Hill Rd, Etlan, VA 22719",4.0,3.0,1948.0,False,False,ForSale,Unknown Listed By,False,False,False,False,False,False,False,,False,False,,,2156751000,38.522285,-78.24889,,,79164297.0,819 Church Hill Rd,22719,Etlan,VA,38.522285,-78.24889,199000.0,3.0,4.0,1948.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,413200.0,2400.0,,False,False,FOR_SALE,199000.0,2156751000.0,True,False,False,USD,USA,1.86,acres,False,246800.0,,,,,,,,,,2024-05-08 00:00:00,,,,,True,True,,,,,,,,,
79281681,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d7d5c3069e632f0c993a8db6a2b68353-p_e.jpg,True,/homedetails/508-Massanutten-Hts-Woodstock-VA-22664/79281681_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"508 Massanutten Hts, Woodstock, VA 22664",4.0,2.0,2142.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Preslee Real Estate,317956000,38.87937,-78.51245,,,79281681.0,508 Massanutten Hts,22664,Woodstock,VA,38.87937,-78.51245,350000.0,2.0,4.0,2142.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,351300.0,1650.0,True,False,False,FOR_SALE,350000.0,317956000.0,True,False,False,USD,USA,1.038,acres,False,222400.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,
79110206,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e377a7c3220af4409a76223b31bc940e-p_e.jpg,True,/homedetails/17007-James-Madison-Hwy-Palmyra-VA-22963/79110206_zpid/,FOR_SALE,House for sale,"$295,000",$295K,"17007 James Madison Hwy, Palmyra, VA 22963",3.0,2.0,1502.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,LONG & FOSTER - LAKE MONTICELLO,110578000,37.909203,-78.257706,OPEN_HOUSE,Open: Sun. 12-2pm,79110206.0,17007 James Madison Hwy,22963,Palmyra,VA,37.909203,-78.257706,295000.0,2.0,3.0,1502.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,300900.0,1800.0,True,False,False,FOR_SALE,295000.0,110578000.0,True,False,False,USD,USA,1.9899999999999998,acres,False,206200.0,https://photos.zillowstatic.com/fp/f1decf996e1a308bb64f64b5052c494c-zillow_web_48_23.jpg,,,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,,,,,,,,,
12623815,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/58672de3b2ef2ebac3ac4ab567a177b8-p_e.jpg,True,/homedetails/51-Dorothy-Ln-Stafford-VA-22554/12623815_zpid/,FOR_SALE,Coming soon,"$500,000",$500K,"51 Dorothy Ln, Stafford, VA 22554",4.0,4.0,2694.0,False,False,ComingSoon,Coming Soon,False,False,False,False,True,False,False,,False,False,,Berkshire Hathaway HomeServices PenFed Realty,490756000,38.4713,-77.43134,,,12623815.0,51 Dorothy Ln,22554,Stafford,VA,38.4713,-77.43134,500000.0,4.0,4.0,2694.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,498900.0,2500.0,,False,False,FOR_SALE,500000.0,490756000.0,True,False,False,USD,USA,9211.0,sqft,False,385000.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,True,,,,,,,,,,,,,,,,,,,,,,,
337844297,ForSale,New Construction,https://photos.zillowstatic.com/fp/c7bbcef4bedc3f9c47fad062ae4981eb-p_e.jpg,True,/homedetails/30-Southern-View-Dr-Stafford-VA-22554/337844297_zpid/,FOR_SALE,New construction,"$875,000",$875K,"30 Southern View Dr, Stafford, VA 22554",7.0,4.0,0.0,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,False,,Samson Properties,145156000,38.37952,-77.41477,,,337844297.0,30 Southern View Dr,22554,Stafford,VA,38.37952,-77.41477,875000.0,4.0,7.0,0.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,False,False,FOR_SALE,875000.0,145156000.0,True,False,False,USD,USA,3.0106,acres,False,120000.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,True,BUILDER_SPEC,,,,,,,
12233634,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f953f155462979ffe716158faba86939-p_e.jpg,True,/homedetails/6821-Crescent-Pl-Bealeton-VA-22712/12233634_zpid/,FOR_SALE,House for sale,"$475,000",$475K,"6821 Crescent Pl, Bealeton, VA 22712",3.0,3.0,2008.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,CENTURY 21 New Millennium,145156000,38.5839,-77.78435,3D_HOME,3D Tour,12233634.0,6821 Crescent Pl,22712,Bealeton,VA,38.5839,-77.78435,475000.0,3.0,3.0,2008.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,483000.0,2496.0,True,False,False,FOR_SALE,475000.0,145156000.0,True,False,False,USD,USA,0.9814967860422406,acres,False,379800.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,
79243672,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/034d8a788ae23e2f176b30e61780a546-p_e.jpg,True,/homedetails/293-Whippoorwill-Ln-Luray-VA-22835/79243672_zpid/,FOR_SALE,House for sale,"$429,900",$430K,"293 Whippoorwill Ln, Luray, VA 22835",3.0,2.0,2092.0,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,70799000,38.663246,-78.5422,TIME_ON_INFO,19 hours ago,79243672.0,293 Whippoorwill Ln,22835,Luray,VA,38.663246,-78.5422,429900.0,2.0,3.0,2092.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,441400.0,2429.0,True,False,False,FOR_SALE,429900.0,70799000.0,True,False,False,USD,USA,3.0,acres,False,199300.0,,,,,,,,,,,,False,,,,,,,,,,,,,
59794904,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/3210f5d4dff7ef804fa1e638329d4c3c-p_e.jpg,True,/homedetails/45564-Mallard-Point-Ter-Sterling-VA-20165/59794904_zpid/,FOR_SALE,Coming soon,"$649,995",$650K,"45564 Mallard Point Ter, Sterling, VA 20165",3.0,4.0,2026.0,False,False,ComingSoon,Coming Soon,False,False,False,False,True,False,False,,False,False,,"Epic Realty, LLC.",145156000,39.04749,-77.42354,OPEN_HOUSE,Open: Sat. 12-2pm,59794904.0,45564 Mallard Point Ter,20165,Sterling,VA,39.04749,-77.42354,649995.0,4.0,3.0,2026.0,TOWNHOUSE,FOR_SALE,-1.0,False,False,587400.0,2900.0,,False,False,FOR_SALE,649995.0,145156000.0,True,False,False,USD,USA,1742.0,sqft,False,493050.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,True,,True,Sat. 12-2pm,"[{'open_house_start': 1717873200000, 'open_house_end': 1717880400000}]",,,,,,,,,,,,,,,,,,,
