zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.priceReduction,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.priceChange,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,info2String,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,lotAreaString,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,availabilityDate,hdpData.homeInfo.videoCount,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,lotId
8681081,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d73d7712b585e570eccb1b4f6257df56-p_e.jpg,True,/homedetails/51554-N-Signal-Mountain-Rd-Miami-AZ-85539/8681081_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"51554 N Signal Mountain Rd, Miami, AZ 85539",2.0,2.0,2108.0,145 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Property Plus USA Realty,7685894000,33.343197,-111.00682,8681081.0,51554 N Signal Mountain Rd,85539,Miami,AZ,33.343197,-111.00682,350000.0,,2.0,2.0,2108.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,True,,False,False,FOR_SALE,350000.0,,7685894000.0,True,False,False,USD,USA,315150.0,1.1775,acres,False,,Listing provided by ARMLS,,,,,,,,,,,,,,,,,,
8395016,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a9660e76cbc5733a6be9402e10b9d68b-p_e.jpg,True,/homedetails/1539-E-2nd-St-Winslow-AZ-86047/8395016_zpid/,FOR_SALE,House for sale,"$199,001",$199K,"1539 E 2nd St, Winslow, AZ 86047",4.0,1.0,1800.0,33 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,Real Broker,2853154000,35.01586,-110.68195,8395016.0,1539 E 2nd St,86047,Winslow,AZ,35.01586,-110.68195,199001.0,1713596400000.0,1.0,4.0,1800.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2690.0,True,,False,False,FOR_SALE,199001.0,1.0,2853154000.0,True,False,False,USD,USA,144680.0,0.7699999999999999,acres,False,182100.0,,,,,,,,,,,,,,,,,,,
2058057465,ForSale,New Construction,https://photos.zillowstatic.com/fp/89767a6dc52d90091abd302314077384-p_e.jpg,True,/homedetails/2426-S-Aspen-Run-Pinetop-AZ-85935/2058057465_zpid/,FOR_SALE,New construction,"$799,000",$799K,"2426 S Aspen Run, Pinetop, AZ 85935",4.0,4.0,2150.0,1 day on Zillow,daysOnZillow,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,Red Tree Realty,139053000,34.118446,-109.95782,2058057465.0,2426 S Aspen Run,85935,Pinetop,AZ,34.118446,-109.95782,799000.0,,4.0,4.0,2150.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1300.0,,,False,False,FOR_SALE,799000.0,,139053000.0,True,False,False,USD,USA,,10454.4,sqft,False,,,,,,,,,True,BUILDER_SPEC,,,,,,,,,,
114518454,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/50c24db1e98e32fe2aa48cce2af778a8-p_e.jpg,True,/homedetails/628-Flagstaff-Ave-Grants-NM-87020/114518454_zpid/,FOR_SALE,House for sale,"$314,000",$314K,"628 Flagstaff Ave, Grants, NM 87020",3.0,4.0,2092.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,161629000,35.155468,-107.83387,114518454.0,628 Flagstaff Ave,87020,Grants,NM,35.155468,-107.83387,314000.0,,4.0,3.0,2092.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2700.0,True,,False,False,FOR_SALE,314000.0,,161629000.0,True,False,False,USD,USA,1804.0,,,False,303600.0,,,,,,,,,,,,,,,,,,,
108306680,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2241a09bc47e619e0d357b992ff0db87-p_e.jpg,True,/homedetails/8511-Cannon-Blvd-Show-Low-AZ-85901/108306680_zpid/,FOR_SALE,House for sale,"$229,999",$230K,"8511 Cannon Blvd, Show Low, AZ 85901",1.0,1.0,800.0,22 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,"Re/Max Fine Properties Show Low 21,000 Holdings, LLC",1908417000,34.347927,-109.98208,108306680.0,8511 Cannon Blvd,85901,Show Low,AZ,34.347927,-109.98208,229999.0,,1.0,1.0,800.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1500.0,True,,False,False,FOR_SALE,229999.0,,1908417000.0,True,False,False,USD,USA,5970.0,9583.2,sqft,False,220300.0,,,,,,,,,,,,,,,,,,,
8413735,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/961fe7ef5c128c160c18a21e2f974a06-p_e.jpg,True,/homedetails/5892-Cougar-Ct-Pinetop-AZ-85935/8413735_zpid/,FOR_SALE,Home for sale,"$305,850",$306K,"5892 Cougar Ct, Pinetop, AZ 85935",3.0,2.0,1500.0,10 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,Frank M. Smith & Associates - Main,933531000,34.10078,-109.89208,8413735.0,5892 Cougar Ct,85935,Pinetop,AZ,34.10078,-109.89208,305850.0,,2.0,3.0,1500.0,MANUFACTURED,FOR_SALE,-1.0,False,False,2224.0,True,,False,False,FOR_SALE,305850.0,,933531000.0,True,False,False,USD,USA,316146.0,5642.0,sqft,False,297900.0,,,,,,,,,,,,,,,,,,,
64948678,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/82ccdf9640b98274668225ec730930b3-p_e.jpg,True,/homedetails/4778-Lone-Pine-Cir-Happy-Jack-AZ-86024/64948678_zpid/,FOR_SALE,House for sale,"$569,500",$570K,"4778 Lone Pine Cir, Happy Jack, AZ 86024",3.0,2.0,1815.0,"Price cut: $19,500 (May 31)",priceCut,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/0171ab2ffac04c121869563ec019a2d9-zillow_web_48_23.jpg,West USA Realty,5783336000,34.65067,-111.11368,64948678.0,4778 Lone Pine Cir,86024,Happy Jack,AZ,34.65067,-111.11368,569500.0,1717138800000.0,2.0,3.0,1815.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2400.0,True,"$19,500 (May 31)",False,False,FOR_SALE,569500.0,-19500.0,5783336000.0,True,False,False,USD,USA,400810.0,0.83,acres,False,544700.0,,,,,,,,,,,,,,,,,,,
247654401,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1aa648f47d6f0fcd7050ba7855a9ff5c-p_e.jpg,True,/homedetails/4400-S-Elk-Trot-Loop-Lakeside-AZ-85901/247654401_zpid/,FOR_SALE,House for sale,"$340,000",$340K,"4400 S Elk Trot Loop, Lakeside, AZ 85901",1.0,1.0,640.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,Realty Executives Arizona Territory,151945000,34.21192,-110.02253,247654401.0,4400 S Elk Trot Loop,85901,Lakeside,AZ,34.21192,-110.02253,340000.0,,1.0,1.0,640.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1450.0,True,,False,False,FOR_SALE,340000.0,,151945000.0,True,False,False,USD,USA,210082.0,4791.6,sqft,False,337400.0,,,,,,,,,,,,,,,,,,,
8414775,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/32b1f48dc35f36e25e09c487c009a4df-p_e.jpg,True,/homedetails/7163-Palomino-Dr-Pinetop-AZ-85935/8414775_zpid/,FOR_SALE,House for sale,"$639,000",$639K,"7163 Palomino Dr, Pinetop, AZ 85935",3.0,2.0,1750.0,16 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,Real Broker,1441470000,34.11557,-109.87662,8414775.0,7163 Palomino Dr,85935,Pinetop,AZ,34.11557,-109.87662,639000.0,,2.0,3.0,1750.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2700.0,True,,False,False,FOR_SALE,639000.0,,1441470000.0,True,False,False,USD,USA,424539.0,0.35,acres,False,621600.0,,,,,,,,,,,,,,,,,,,
339758603,ForSale,New Construction,https://photos.zillowstatic.com/fp/98294767c2afc182ad7e47b5769b274a-p_e.jpg,True,/homedetails/4240-Hilltop-Dr-Lakeside-AZ-85929/339758603_zpid/,FOR_SALE,New construction,"$389,000",$389K,"4240 Hilltop Dr, Lakeside, AZ 85929",4.0,3.0,2400.0,315 days on Zillow,daysOnZillow,False,False,ForSale,New Construction,False,False,False,False,True,False,False,NEW_CONSTRUCTION,False,False,https://photos.zillowstatic.com/fp/627e7741e2a1597cff9a92dd2ab08691-zillow_web_48_23.jpg,eXp Realty LLC,27270441000,34.15491,-109.99888,339758603.0,4240 Hilltop Dr,85929,Lakeside,AZ,34.15491,-109.99888,389000.0,1715842800000.0,3.0,4.0,2400.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2949.0,,"$10,000 (May 16)",False,False,FOR_SALE,389000.0,-10000.0,27270441000.0,True,False,False,USD,USA,53404.0,1.26,acres,False,370300.0,,,,,,,,True,BUILDER_SPEC,,,,,,,,,,
