zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.taxAssessedValue,info2String,info6String,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,info3String,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,hdpData.homeInfo.priceReduction,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.unit,lotAreaString,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.videoCount
194607893,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bc4a9c2481aa6070f592cbd07363d60a-p_e.jpg,True,/homedetails/810-Leola-Ave-Leola-SD-57456/194607893_zpid/,FOR_SALE,House for sale,"$67,000",$67K,"810 Leola Ave, Leola, SD 57456",3.0,2.0,1140.0,27 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,2343533000,45.718655,-98.9374,194607893.0,810 Leola Ave,57456,Leola,SD,45.718655,-98.9374,67000.0,2.0,3.0,1140.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,58900.0,1450.0,True,False,False,FOR_SALE,67000.0,2343533000.0,True,False,False,USD,USA,0.32598714416896235,acres,False,36106.0,,,,,,,,,,,,,,,,,2024-05-05 00:00:00,,,,,,,,,
234438702,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/73c89d74870ea526d3d5b3357ad185e6-p_e.jpg,True,/homedetails/20991-Bulldog-Canyon-Rd-Sturgis-SD-57785/234438702_zpid/,FOR_SALE,House for sale,"$879,650",$880K,"20991 Bulldog Canyon Rd, Sturgis, SD 57785",3.0,2.0,2544.0,29 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,2564881000,44.363777,-103.47888,234438702.0,20991 Bulldog Canyon Rd,57785,Sturgis,SD,44.363777,-103.47888,879650.0,2.0,3.0,2544.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,822700.0,2500.0,True,False,False,FOR_SALE,879650.0,2564881000.0,True,False,False,USD,USA,43.52,acres,False,609639.0,,,,,,,1716102000000.0,-20350.0,"$20,350 (May 19)",,,,,,,,,,,,,,,,,
114552290,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/01dde21696c7e2766bacbff7d052b8b9-p_e.jpg,True,/homedetails/316-S-Tyler-Ave-Pierre-SD-57501/114552290_zpid/,FOR_SALE,House for sale,"$72,000",$72K,"316 S Tyler Ave, Pierre, SD 57501",2.0,1.0,0.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Lee Real Estate,160785000,44.361423,-100.32824,114552290.0,316 S Tyler Ave,57501,Pierre,SD,44.361423,-100.32824,72000.0,1.0,2.0,0.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,62200.0,1074.0,True,False,False,FOR_SALE,72000.0,160785000.0,True,False,False,USD,USA,6600.0,sqft,False,72467.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2070583418,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/06fed96a5028787373309842cd06d9c0-p_e.jpg,True,/homedetails/4200-N-Arlington-Dr-Bismarck-ND-58503/2070583418_zpid/,FOR_SALE,Home for sale,"$110,000",$110K,"4200 N Arlington Dr, Bismarck, ND 58503",3.0,2.0,1248.0,22 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,NEXTHOME LEGENDARY PROPERTIES,82734000,46.837708,-100.72533,2070583418.0,4200 N Arlington Dr,58503,Bismarck,ND,46.837708,-100.72533,110000.0,2.0,3.0,1248.0,MANUFACTURED,FOR_SALE,-1.0,False,False,106500.0,444.0,True,False,False,FOR_SALE,110000.0,82734000.0,True,False,False,USD,USA,0.0,sqft,False,,Listing provided by Great North MLS,Kaitlin A Diede,True,Sun. 10:30am-12pm,"[{'open_house_start': 1717349400000, 'open_house_end': 1717354800000}]",,,,,,,,,,,,,,,,,,,,,
2092974606,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/761c63422421f7881091f2e370f227be-p_e.jpg,True,/homedetails/2500-Centennial-Rd-LOT-407-Bismarck-ND-58503/2092974606_zpid/,FOR_SALE,Home for sale,"$67,400",$67K,"2500 Centennial Rd LOT 407, Bismarck, ND 58503",3.0,2.0,1216.0,74 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Better Homes and Gardens Real Estate Alliance Group,6400776000,46.83543,-100.73712,2092974606.0,2500 Centennial Rd LOT 407,58503,Bismarck,ND,46.83543,-100.73712,67400.0,2.0,3.0,1216.0,MANUFACTURED,FOR_SALE,-1.0,False,False,59600.0,456.0,True,False,False,FOR_SALE,67400.0,6400776000.0,True,False,False,USD,USA,,,False,,Listing provided by Great North MLS,DENISE M ZIEGLER,,,,,1714374000000.0,-7600.0,"$7,600 (Apr 29)",,,,,,,,,,,Lot 407,,,,,,
2054519743,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/312eeb5db89f239dffe8ce7aa76323d4-p_e.jpg,True,/homedetails/Tilford-Rd-Piedmont-SD-57769/2054519743_zpid/,FOR_SALE,Lot / Land for sale,"$194,900",$195K,"Tilford Rd, Piedmont, SD 57769",,,,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,162477000,44.299515,-103.22976,2054519743.0,Tilford Rd,57769,Piedmont,SD,44.299515,-103.22976,194900.0,,,,LOT,FOR_SALE,-1.0,False,False,,1966.0,True,False,False,FOR_SALE,194900.0,162477000.0,True,False,False,USD,USA,40.39,acres,False,,,,,,,,,,,,,,,,,,,,,,40.39 acres,,,,,
124482388,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2f631b531a3bdaf29e0343edbf9de6f9-p_e.jpg,True,/homedetails/20664-390th-Ave-Wolsey-SD-57384/124482388_zpid/,FOR_SALE,House for sale,"$419,900",$420K,"20664 390th Ave, Wolsey, SD 57384",5.0,3.0,3912.0,43 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,EXIT REALTY CONNECTION,3797427000,44.391056,-98.41672,124482388.0,20664 390th Ave,57384,Wolsey,SD,44.391056,-98.41672,419900.0,3.0,5.0,3912.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,391600.0,1650.0,True,False,False,FOR_SALE,419900.0,3797427000.0,True,False,False,USD,USA,11.25,acres,False,264339.0,Northeast South Dakota BOR,,,,,,1714633200000.0,-20000.0,"$20,000 (May 2)",,,,,,,,,,,,,,,,,
78393767,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/08b609ee07587f7cd0b603e97e8edf27-p_e.jpg,True,/homedetails/1036-Pleasant-St-Bismarck-ND-58504/78393767_zpid/,FOR_SALE,Condo for sale,"$209,900",$210K,"1036 Pleasant St, Bismarck, ND 58504",3.0,2.0,1588.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Paramount Real Estate,157273000,46.79397,-100.79779,78393767.0,1036 Pleasant St,58504,Bismarck,ND,46.79397,-100.79779,209900.0,2.0,3.0,1588.0,CONDO,FOR_SALE,-1.0,False,False,204200.0,1849.0,True,False,False,FOR_SALE,209900.0,157273000.0,True,False,False,USD,USA,0.0,sqft,False,166900.0,Listing provided by Great North MLS,BREA ZINS,,,,,,,,,,,,,,,,,,,,,,,,
2104463298,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f19fc25bf90c03089e497bfe60aa6893-p_e.jpg,True,/homedetails/110-Fredrick-Ln-Rapid-City-SD-57702/2104463298_zpid/,FOR_SALE,House for sale,"$575,000",$575K,"110 Fredrick Ln, Rapid City, SD 57702",3.0,4.0,1906.0,44 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,BERKSHIRE HATHAWAY HOMESERVICES MIDWEST REALTY,3869481000,44.036823,-103.54137,2104463298.0,110 Fredrick Ln,57702,Rapid City,SD,44.036823,-103.54137,575000.0,4.0,3.0,1906.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,555100.0,3147.0,True,False,False,FOR_SALE,575000.0,3869481000.0,True,False,False,USD,USA,1.04,acres,False,,Listing provided by Black Hills AOR,,,,,,,,,,,,,,,,,,,,,,,,,
117816713,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/28ab738d4b1e3e6a211a25b6f91cb56f-p_e.jpg,True,/homedetails/2601-Cameron-Dr-Rapid-City-SD-57702/117816713_zpid/,FOR_SALE,House for sale,"$375,000",$375K,"2601 Cameron Dr, Rapid City, SD 57702",6.0,2.0,2064.0,19 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,1713591000,44.06058,-103.262436,117816713.0,2601 Cameron Dr,57702,Rapid City,SD,44.06058,-103.262436,375000.0,2.0,6.0,2064.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,357300.0,2250.0,True,False,False,FOR_SALE,375000.0,1713591000.0,True,False,False,USD,USA,10454.4,sqft,False,263300.0,,,,,,,1716361200000.0,-10000.0,"$10,000 (May 22)",,,,,,,,,,,,,,,,,
