zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.priceReduction,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.priceChange,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.unit,info2String,info6String,lotId,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,plid,communityName,builderName,isCdpResult,isComingSoonCommunity,lotAreaString
227709608,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f09a192bcc5997d05623810a77d583c5-p_e.jpg,True,/homedetails/8797-E-Acorn-Way-Heber-UT-84032/227709608_zpid/,FOR_SALE,House for sale,"$1,249,000",$1.25M,"8797 E Acorn Way, Heber, UT 84032",3.0,3.0,2650.0,22 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg,Century 21 Everest,144615000,40.487137,-111.27628,227709608.0,8797 E Acorn Way,84032,Heber,UT,40.487137,-111.27628,1249000.0,,3.0,3.0,2650.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,3499.0,True,,False,False,FOR_SALE,1249000.0,,144615000.0,True,False,False,USD,USA,653250.0,1.0,acres,False,1250800.0,,,,,,,,,,,,,,,,,,,,,,,,
12766433,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/9fc8334f3de1f453a7a9daa26528d3ec-p_e.jpg,True,/homedetails/1419-E-Browning-Ave-Salt-Lake-City-UT-84105/12766433_zpid/,FOR_SALE,House for sale,"$1,350,000",$1.35M,"1419 E Browning Ave, Salt Lake City, UT 84105",5.0,4.0,3406.0,4 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Summit Sotheby's International Realty,453217000,40.739277,-111.85022,12766433.0,1419 E Browning Ave,84105,Salt Lake City,UT,40.739277,-111.85022,1350000.0,,4.0,5.0,3406.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,True,,False,False,FOR_SALE,1350000.0,,453217000.0,True,False,False,USD,USA,1003300.0,5662.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
250404272,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/256394e2d5c0e81a7ff6e01950411bf1-p_e.jpg,True,/homedetails/945-Canyon-Crest-Dr-Bountiful-UT-84010/250404272_zpid/,FOR_SALE,House for sale,"$750,000",$750K,"945 Canyon Crest Dr, Bountiful, UT 84010",5.0,4.0,4666.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Summit Sotheby's International Realty,366817000,40.879517,-111.85469,250404272.0,945 Canyon Crest Dr,84010,Bountiful,UT,40.879517,-111.85469,750000.0,,4.0,5.0,4666.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,3628.0,True,,False,False,FOR_SALE,750000.0,,366817000.0,True,False,False,USD,USA,788000.0,0.33999999999999997,acres,False,758900.0,,,,,,,,,,,,,,,,,,,,,,,,
91943272,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/980aa32aa7ddca215a8e966dbf771ac0-p_e.jpg,True,/homedetails/197-Poplar-St-Caliente-NV-89008/91943272_zpid/,FOR_SALE,House for sale,"$139,000",$139K,"197 Poplar St, Caliente, NV 89008",4.0,2.0,942.0,60 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,Signature Real Estate Group,5231760000,37.61434,-114.51432,91943272.0,197 Poplar St,89008,Caliente,NV,37.61434,-114.51432,139000.0,1715151600000.0,2.0,4.0,942.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,True,"$10,000 (May 8)",False,False,FOR_SALE,139000.0,-10000.0,5231760000.0,True,False,False,USD,USA,23372.0,6250.86,sqft,False,,,,,,,,,,,,,,Listing provided by GLVAR,Elicia J. Stauffer Lobato,,,,,,,,,,
350331156,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7410b673df8d3b3999e0f23157ad3642-p_e.jpg,True,/homedetails/1258-W-Rock-River-Rd-82-West-Valley-City-UT-84119/350331156_zpid/,FOR_SALE,Home for sale,"$125,000",$125K,"1258 W Rock River Rd #82, West Valley City, UT 84119",3.0,2.0,1120.0,16 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Hardship Real Estate Inc.,1490118000,40.694344,-111.92795,350331156.0,1258 W Rock River Rd #82,84119,West Valley City,UT,40.694344,-111.92795,125000.0,,2.0,3.0,1120.0,MANUFACTURED,FOR_SALE,-1.0,False,False,,True,,False,False,FOR_SALE,125000.0,,1490118000.0,True,False,False,USD,USA,,,,False,121500.0,,,,,,,,,,,,# 82,,,,,,,,,,,,
12018000,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c96e4c58b6e4f0c7ecf5610265242b29-p_e.jpg,True,/homedetails/2168-N-3850-E-Huntsville-UT-84310/12018000_zpid/,FOR_SALE,House for sale,"$850,000",$850K,"2168 N 3850 E, Huntsville, UT 84310",2.0,2.0,1950.0,5 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Range Realty Co.,539617000,41.298298,-111.85483,12018000.0,2168 N 3850 E,84310,Huntsville,UT,41.298298,-111.85483,850000.0,,2.0,2.0,1950.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1674.0,True,,False,False,FOR_SALE,850000.0,,539617000.0,True,False,False,USD,USA,560000.0,1.09,acres,False,847600.0,,,,,,,,,,,,,,,,,,,,,,,,
126215330,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1e2db614550f459c94cb55e922076e14-p_e.jpg,True,/homedetails/350-S-100-W-Logan-UT-84321/126215330_zpid/,FOR_SALE,House for sale,"$320,000",$320K,"350 S 100 W, Logan, UT 84321",3.0,2.0,1541.0,Open: Tue 10am-12pm,openHouse,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Presidio Real Estate (Cache Valley),280735000,41.725086,-111.837265,126215330.0,350 S 100 W,84321,Logan,UT,41.725086,-111.837265,320000.0,,2.0,3.0,1541.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1474.0,True,,False,False,FOR_SALE,320000.0,,280735000.0,True,False,False,USD,USA,214040.0,6534.0,sqft,False,326500.0,True,6/11 10am-12pm,"[{'open_house_start': 1718125200000, 'open_house_end': 1718132400000}]",,,,,,,,,,,,,,,,,,,,,
68904535,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0e05980b500acbbfa712956f55ab69a7-p_e.jpg,True,/homedetails/1065-W-Eagle-Cir-Saint-George-UT-84770/68904535_zpid/,FOR_SALE,House for sale,"$649,000",$649K,"1065 W Eagle Cir, Saint George, UT 84770",4.0,2.0,1850.0,43 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,,Realty ONE Group Distinction,3793163000,37.13479,-113.6058,68904535.0,1065 W Eagle Cir,84770,Saint George,UT,37.13479,-113.6058,649000.0,1715151600000.0,2.0,4.0,1850.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2100.0,True,"$31,000 (May 8)",False,False,FOR_SALE,649000.0,-31000.0,3793163000.0,True,False,False,USD,USA,661000.0,10018.8,sqft,False,630900.0,,,,,,,,,,,,,,,,,,,,,,,,
348928326,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cb8384cd2d27e8923addcc63136f0ea1-p_e.jpg,True,/homedetails/168-N-Gorlick-Ln-Hatch-UT-84735/348928326_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"168 N Gorlick Ln, Hatch, UT 84735",2.0,2.0,1627.0,31 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,2749147000,37.626297,-112.641846,348928326.0,168 N Gorlick Ln,84735,Hatch,UT,37.626297,-112.641846,350000.0,,2.0,2.0,1627.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1949.0,True,,False,False,FOR_SALE,350000.0,,2749147000.0,True,False,False,USD,USA,,0.36,acres,False,319500.0,,,,,,,,,,,,,,,,,,,,,,,,
227690098,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7ff3359073fa05f1676e7350a712f8c9-p_e.jpg,True,/homedetails/7254-Goldrush-Dr-Elko-NV-89801/227690098_zpid/,FOR_SALE,Home for sale,"$259,900",$260K,"7254 Goldrush Dr, Elko, NV 89801",3.0,2.0,1680.0,"Price cut: $5,100 (Jun 01)",priceCut,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,,2151580000,40.9519,-115.60115,227690098.0,7254 Goldrush Dr,89801,Elko,NV,40.9519,-115.60115,259900.0,1717225200000.0,2.0,3.0,1680.0,MANUFACTURED,FOR_SALE,-1.0,False,False,,True,"$5,100 (Jun 1)",False,False,FOR_SALE,259900.0,-5100.0,2151580000.0,True,False,False,USD,USA,42441.0,2.06,acres,False,,,,,,,,,,,,,,Listing provided by ECMLS,,,,,,,,,,,
2069456837,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/444ca3551e68eae3a45696326f86f708-p_e.jpg,True,/homedetails/778-E-David-Way-North-Salt-Lake-UT-84054/2069456837_zpid/,FOR_SALE,House for sale,"$585,000",$585K,"778 E David Way, North Salt Lake, UT 84054",4.0,3.0,2324.0,21 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,RE/MAX Associates,107616000,40.837345,-111.89247,2069456837.0,778 E David Way,84054,North Salt Lake,UT,40.837345,-111.89247,585000.0,,3.0,4.0,2324.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2505.0,True,,False,False,FOR_SALE,585000.0,,107616000.0,True,False,False,USD,USA,,10018.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
2089231457,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5322ddf04ba25741a3c1b5104be1e206-p_e.jpg,True,/homedetails/4630-N-White-Sands-Loop-Duck-Creek-Village-UT-84762/2089231457_zpid/,FOR_SALE,House for sale,"$235,000",$235K,"4630 N White Sands Loop, Duck Creek Village, UT 84762",2.0,1.0,860.0,45 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,ERA Realty Center,3957051000,37.52486,-112.41402,2089231457.0,4630 N White Sands Loop,84762,Duck Creek Village,UT,37.52486,-112.41402,235000.0,1692946800000.0,1.0,2.0,860.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1400.0,True,,False,False,FOR_SALE,235000.0,-45000.0,3957051000.0,True,False,False,USD,USA,,0.55,acres,False,219800.0,,,,,,,,,,,,,,,,,,,,,,,,
