zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_bankOwned,info3String,info6String,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,info2String,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.unit,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.videoCount,plid,communityName,builderName,isCdpResult,isComingSoonCommunity
111308515,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e1d83897bf0c0fe052eaf85c3fcc4dd7-p_e.jpg,True,/homedetails/183-Timberlane-Dr-Monticello-MS-39654/111308515_zpid/,FOR_SALE,House for sale,"$90,000",$90K,"183 Timberlane Dr, Monticello, MS 39654",4.0,2.0,2573.0,44 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,United Country - McDaniel Gray,3872195000,31.55005,-90.135826,111308515.0,183 Timberlane Dr,39654,Monticello,MS,31.55005,-90.135826,90000.0,2.0,4.0,2573.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,90000.0,3872195000.0,True,False,False,USD,USA,142365.0,3.0,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76220484,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5371cdb1fb2e75a63c524ec9be98711e-p_e.jpg,True,/homedetails/115-Ouachita-319-Chidester-AR-71726/76220484_zpid/,FOR_SALE,House for sale,"$99,500",$100K,"115 Ouachita #319, Chidester, AR 71726",3.0,2.0,2112.0,243 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Southern Realty Group - Camden Branch,21077034000,33.660934,-93.09266,76220484.0,115 Ouachita #319,71726,Chidester,AR,33.660934,-93.09266,99500.0,2.0,3.0,2112.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,99500.0,21077034000.0,True,False,False,USD,USA,81350.0,0.5,acres,False,93500.0,1594.0,,https://photos.zillowstatic.com/fp/19e7bcbe73b7e6c8d48d299d96f774fd-zillow_web_48_23.jpg,Hannah Moore,,,,,,,,,,,,,,,,,# 319,,,,,,,,,,,,
92512398,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/73465486cf634a1ea25cc2c5583671de-p_e.jpg,True,/homedetails/305-Colorado-Dr-Monroe-LA-71203/92512398_zpid/,FOR_SALE,House for sale,"$195,000",$195K,"305 Colorado Dr, Monroe, LA 71203",3.0,2.0,1443.0,4 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"French Realty, LLC",358498000,32.546776,-91.98748,92512398.0,305 Colorado Dr,71203,Monroe,LA,32.546776,-91.98748,195000.0,2.0,3.0,1443.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,195000.0,358498000.0,True,False,False,USD,USA,136971.0,7405.2,sqft,False,193400.0,1500.0,,https://photos.zillowstatic.com/fp/ea56e3a3ebadb9d297400bfebd73069c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106085695,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/33ec8408ac2f0948b3d120b0fa2146c9-p_e.jpg,True,/homedetails/917-Wedgewood-Dr-Ruston-LA-71270/106085695_zpid/,FOR_SALE,House for sale,"$359,000",$359K,"917 Wedgewood Dr, Ruston, LA 71270",4.0,3.0,2260.0,Open: Sun 2pm-4pm,openHouse,False,False,ForSale,For Sale (Broker),False,False,True,False,True,False,False,,False,False,Brasher Group,2326182000,32.552315,-92.65188,106085695.0,917 Wedgewood Dr,71270,Ruston,LA,32.552315,-92.65188,359000.0,3.0,4.0,2260.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,359000.0,2326182000.0,True,False,False,USD,USA,260719.0,10454.4,sqft,False,344100.0,2134.0,,https://photos.zillowstatic.com/fp/ea56e3a3ebadb9d297400bfebd73069c-zillow_web_48_23.jpg,,,1716879600000.0,"$6,000 (May 28)",-6000.0,,,,,,,,,,True,Sun. 2-4pm,"[{'open_house_start': 1717362000000, 'open_house_end': 1717369200000}]",,,,,,,,1.0,,,,,
219951983,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cce4a1b1036f22a46c28f5cc97e651b8-p_e.jpg,True,/homedetails/600-Macbeth-St-Brandon-MS-39047/219951983_zpid/,FOR_SALE,House for sale,"$345,000",$345K,"600 Macbeth St, Brandon, MS 39047",4.0,3.0,1940.0,1 day on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,ASPIRE REAL ESTATE LLC,154395000,32.406185,-89.95972,219951983.0,600 Macbeth St,39047,Brandon,MS,32.406185,-89.95972,345000.0,3.0,4.0,1940.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,345000.0,154395000.0,True,False,False,USD,USA,230210.0,0.27999999999999997,acres,False,344600.0,2807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60548968,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/36915c924855d2ae9b0a352b115fda2a-p_e.jpg,True,/homedetails/3061-Louis-Wilson-Dr-Brandon-MS-39042/60548968_zpid/,FOR_SALE,House for sale,"$950,000",$950K,"3061 Louis Wilson Dr, Brandon, MS 39042",4.0,3.0,4566.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,NextHome Realty Experience,259111000,32.25714,-89.96469,60548968.0,3061 Louis Wilson Dr,39042,Brandon,MS,32.25714,-89.96469,950000.0,3.0,4.0,4566.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,950000.0,259111000.0,True,False,False,USD,USA,307210.0,10.0,acres,False,943000.0,5508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106066579,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/233649d4b16709cb5d30cf34411bd664-p_e.jpg,True,/homedetails/231-James-Thomas-Rd-Winnsboro-LA-71295/106066579_zpid/,FOR_SALE,Home for sale,"$85,000",$85K,"231 James Thomas Rd, Winnsboro, LA 71295",4.0,3.0,2100.0,173 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Coldwell Banker Group One Realty,15032598000,31.978367,-91.75629,106066579.0,231 James Thomas Rd,71295,Winnsboro,LA,31.978367,-91.75629,85000.0,3.0,4.0,2100.0,MANUFACTURED,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,85000.0,15032598000.0,True,False,False,USD,USA,19900.0,1.0,acres,False,74000.0,507.0,,https://photos.zillowstatic.com/fp/ea56e3a3ebadb9d297400bfebd73069c-zillow_web_48_23.jpg,,,1714028400000.0,"$10,000 (Apr 25)",-10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
50823991,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b3f95075b11c00ea22fc0ee9fecf91a7-p_e.jpg,True,/homedetails/325-White-Sand-Rd-Florence-MS-39073/50823991_zpid/,FOR_SALE,House for sale,"$265,800",$266K,"325 White Sand Rd, Florence, MS 39073",3.0,2.0,1771.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"McKee Realty, Inc.",309306000,32.1572,-90.10278,50823991.0,325 White Sand Rd,39073,Florence,MS,32.1572,-90.10278,265800.0,2.0,3.0,1771.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,265800.0,309306000.0,True,False,False,USD,USA,167050.0,0.32999999999999996,acres,False,264900.0,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247920623,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/61c3862e82ccacf3082b91494a279dd8-p_e.jpg,True,/homedetails/212-Bream-Pond-Ln-Brandon-MS-39047/247920623_zpid/,FOR_SALE,House for sale,"$265,000",$265K,"212 Bream Pond Ln, Brandon, MS 39047",3.0,2.0,1514.0,51 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Hopper Properties,4460754000,32.49812,-89.92338,247920623.0,212 Bream Pond Ln,39047,Brandon,MS,32.49812,-89.92338,265000.0,2.0,3.0,1514.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,265000.0,4460754000.0,True,False,False,USD,USA,157360.0,10018.8,sqft,False,256000.0,2100.0,,,,,1715842800000.0,"$4,000 (May 16)",-4000.0,,,,,,,,,,,,,,,,,,,,,,,,,
76188422,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d754784672ff690d8aa22e16bfec4814-p_e.jpg,True,/homedetails/128-Bayne-Rd-Malvern-AR-72104/76188422_zpid/,FOR_SALE,House for sale,"$300,000",$300K,"128 Bayne Rd, Malvern, AR 72104",4.0,3.0,2560.0,26 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,McGraw Realtors - HS,2313929000,34.329273,-92.810646,76188422.0,128 Bayne Rd,72104,Malvern,AR,34.329273,-92.810646,300000.0,3.0,4.0,2560.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,300000.0,2313929000.0,True,False,False,USD,USA,159875.0,4.0,acres,False,292700.0,2394.0,,https://photos.zillowstatic.com/fp/19e7bcbe73b7e6c8d48d299d96f774fd-zillow_web_48_23.jpg,Amy Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
